Rk,Team,Conf,W-L,AdjEM,AdjO,AdjO2,AdjD,AdjD2,AdjT,AdjT2,Luck,Luck2,Strength of Schedule AdjEM,Strength of Schedule AdjEM2,Strength of Schedule OppO,Strength of Schedule OppO2,Strength of Schedule OppD,Strength of Schedule OppD2,NCSOS AdjEM,NCSOS AdjEM2,Seed
1,Duke,ACC,31-6,32.33,120.8,2,88.5,3,67.7,94,-0.028,232,12.59,7,109.5,7,96.9,4,2.42,94,1
2,Connecticut,BE,33-6,28.3,117.8,9,89.5,6,68.2,75,0.012,140,8.93,18,107.7,27,98.8,14,-2.05,216,2
3,Saint Joseph's,A10,30-2,27.66,118.9,5,91.2,12,66.1,148,0.06,42,6.99,40,107.1,38,100.1,43,8.86,10,1
4,Oklahoma St.,B12,31-4,27.37,118.5,6,91.1,11,64.8,203,0.029,92,7.56,31,107.7,29,100.1,44,-5.55,274,2
5,Pittsburgh,BE,31-5,25.91,114.1,20,88.2,2,59.7,314,-0.028,235,5.97,56,106.4,63,100.5,65,-8.2,305,3
6,Wisconsin,B10,25-7,25.74,116.0,14,90.3,8,60.7,310,-0.001,174,8.34,23,108.0,20,99.7,30,3.63,64,6
7,Gonzaga,WCC,28-3,25.34,120.8,3,95.5,36,66.6,128,0.013,136,3.28,105,105.5,94,102.2,116,7.0,23,2
8,Georgia Tech,ACC,28-10,24.69,113.5,28,88.8,4,69.1,49,0.008,148,13.74,3,110.8,2,97.1,5,0.97,138,3
9,North Carolina St.,ACC,21-10,23.98,119.1,4,95.1,33,62.1,292,-0.072,298,12.81,6,109.5,6,96.7,3,-0.59,179,3
10,Kentucky,SEC,27-5,23.35,113.5,26,90.1,7,66.1,151,0.031,87,8.97,16,108.3,16,99.3,21,3.47,67,1
11,North Carolina,ACC,19-11,23.23,117.4,10,94.1,23,70.9,16,-0.091,311,13.85,2,110.2,4,96.4,2,2.76,79,6
12,Stanford,P10,30-2,22.52,111.9,42,89.3,5,64.5,212,0.051,56,3.76,99,105.9,78,102.2,117,-1.79,209,1
13,Illinois,B10,26-7,22.11,117.8,8,95.7,39,63.5,252,0.055,47,8.13,26,107.7,28,99.5,26,2.52,89,5
14,Mississippi St.,SEC,26-4,21.74,114.7,18,92.9,17,68.1,82,0.021,114,6.38,48,106.3,69,99.9,39,-1.89,210,2
15,Wake Forest,ACC,21-10,21.69,121.6,1,99.9,102,70.4,23,-0.019,216,13.52,4,109.6,5,96.1,1,1.79,116,4
16,Cincinnati,CUSA,25-7,21.56,116.1,13,94.5,26,66.7,127,0.003,163,5.62,66,105.6,90,100.0,41,-0.28,172,4
17,Texas,B12,25-8,21.54,115.6,16,94.1,22,64.7,206,0.038,72,9.27,14,109.1,11,99.8,35,0.8,143,3
18,Kansas,B12,24-9,20.89,112.3,38,91.4,13,69.4,40,0.017,125,10.39,11,109.2,10,98.8,15,6.53,30,4
19,Louisville,CUSA,20-10,20.44,107.1,94,86.6,1,67.4,106,-0.079,303,7.09,39,107.0,43,99.9,37,4.23,57,10
20,Nevada,WAC,25-9,20.27,112.3,39,92.0,15,68.7,58,-0.039,251,7.09,38,107.6,32,100.5,66,4.97,48,10
21,Xavier,A10,26-11,20.16,113.8,21,93.6,20,64.1,230,-0.022,219,7.19,36,107.5,33,100.3,58,2.75,81,7
22,Maryland,ACC,20-12,19.81,110.9,52,91.1,10,71.1,12,-0.009,189,14.09,1,112.1,1,98.0,8,-1.13,192,4
23,Vanderbilt,SEC,23-10,18.64,113.6,23,95.0,30,65.0,193,-0.002,176,7.87,28,108.0,23,100.1,45,-6.57,288,6
24,Providence,BE,20-9,18.32,112.3,40,93.9,21,65.0,196,0.003,165,8.8,21,107.9,25,99.1,19,4.05,59,5
25,Florida,SEC,20-11,18.26,116.9,12,98.6,78,65.9,162,-0.023,222,9.6,13,107.9,24,98.3,11,0.08,163,5
27,Seton Hall,BE,21-10,17.35,112.3,37,95.0,31,65.4,180,-0.004,178,7.85,29,107.2,36,99.4,23,-1.14,193,8
28,Texas Tech,B12,23-11,17.11,111.4,46,94.3,24,66.7,126,0.01,143,8.29,24,108.4,15,100.1,47,2.29,97,8
29,Alabama,SEC,20-13,16.5,114.7,17,98.2,67,64.7,207,0.004,161,11.2,8,109.1,12,97.9,7,6.59,29,8
30,Syracuse,BE,23-8,16.34,113.1,31,96.7,50,65.7,169,0.086,19,7.88,27,107.4,34,99.6,27,-4.61,261,5
31,Western Michigan,MAC,26-5,16.29,114.3,19,98.0,64,65.6,173,0.037,74,-0.63,175,103.5,157,104.1,186,-1.21,196,11
32,Arizona,P10,20-10,16.18,118.5,7,102.3,151,73.0,6,-0.072,296,5.72,63,106.7,55,101.0,80,4.6,53,9
33,Memphis,CUSA,22-8,16.17,111.8,43,95.6,37,66.6,131,0.012,137,5.55,69,105.7,86,100.2,48,1.83,114,7
34,Michigan St.,B10,18-12,15.66,117.2,11,101.5,129,64.0,232,-0.014,198,8.92,19,107.1,39,98.2,10,7.6,19,7
35,BYU,MWC,21-9,15.64,113.0,32,97.4,59,65.9,160,0.02,116,7.13,37,108.1,19,101.0,78,6.41,32,12
36,Air Force,MWC,22-7,15.42,111.4,47,96.0,43,51.9,326,0.025,101,0.58,143,103.3,170,102.8,138,-10.49,318,11
37,Boston College,BE,24-10,15.42,110.5,55,95.1,34,62.6,282,0.045,64,7.21,35,106.2,73,99.0,18,-2.14,218,6
38,Richmond,A10,20-13,15.07,105.9,109,90.9,9,62.7,281,-0.06,281,6.95,41,107.2,37,100.2,50,7.66,17,11
39,South Carolina,SEC,23-11,15.02,109.7,64,94.7,28,65.5,176,0.0,172,6.15,54,105.8,82,99.6,28,-8.05,302,10
41,UTEP,WAC,24-8,14.69,112.5,36,97.8,61,68.2,76,0.046,61,4.31,92,104.2,133,99.9,38,-6.38,284,13
42,Southern Illinois,MVC,25-5,14.33,109.1,70,94.8,29,65.2,188,0.046,62,2.54,113,105.1,107,102.5,134,2.25,103,9
43,Charlotte,CUSA,21-9,14.25,112.7,34,98.5,73,69.7,33,0.015,131,5.72,64,105.0,109,99.3,22,2.66,83,9
45,Utah,MWC,24-9,14.13,110.1,60,96.0,42,58.8,317,0.064,36,4.45,87,106.8,50,102.3,121,-0.97,188,11
46,UAB,CUSA,22-10,13.63,108.1,79,94.5,25,70.7,20,0.019,120,5.34,75,105.8,83,100.4,62,1.6,122,9
48,Manhattan,MAAC,25-6,13.38,109.1,71,95.7,38,65.0,194,0.012,139,-1.77,193,103.2,177,105.0,220,1.31,130,12
58,DePaul,CUSA,22-10,11.36,113.0,33,101.6,132,63.2,267,0.091,17,5.83,62,106.4,64,100.6,71,-0.62,180,7
60,Washington,P10,19-12,10.78,113.1,30,102.3,152,73.5,1,0.031,88,6.16,52,106.6,58,100.4,63,2.14,107,8
61,Murray St.,OVC,28-6,10.62,110.5,56,99.9,101,68.7,59,0.064,38,-3.8,233,103.1,180,106.9,296,1.25,131,12
63,Illinois Chicago,Horz,24-8,10.39,107.5,86,97.1,54,64.6,208,0.037,78,-0.52,171,103.6,153,104.1,182,-2.97,236,13
67,Louisiana Lafayette,SB,20-9,10.23,109.2,68,99.0,85,69.1,52,0.006,154,0.84,141,103.8,150,103.0,141,10.92,6,14
