Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,Score1,Score2,Eff_Diff,Score_Diff,Winner
Alabama,Syracuse,16.5,16.34,114.7,113.1,98.2,96.7,11.2,7.88,109.1,107.4,97.9,99.6,80,71,0.16000000000000014,9,0
Connecticut,Vanderbilt,28.3,18.64,117.8,113.6,89.5,95.0,8.93,7.87,107.7,108.0,98.8,100.1,73,53,9.66,20,0
Kansas,Georgia Tech,20.89,24.69,112.3,113.5,91.4,88.8,10.39,13.74,109.2,110.8,98.8,97.1,71,79,-3.8000000000000007,-8,1
Saint Joseph's,Oklahoma St.,27.66,27.37,118.9,118.5,91.2,91.1,6.99,7.56,107.1,107.7,100.1,100.1,62,64,0.28999999999999915,-2,1
Duke,Xavier,32.33,20.16,120.8,113.8,88.5,93.6,12.59,7.19,109.5,107.5,96.9,100.3,66,63,12.169999999999998,3,0
Connecticut,Alabama,28.3,16.5,117.8,114.7,89.5,98.2,8.93,11.2,107.7,109.1,98.8,97.9,87,71,11.8,16,0
Oklahoma St.,Georgia Tech,27.37,24.69,118.5,113.5,91.1,88.8,7.56,13.74,107.7,110.8,100.1,97.1,65,67,2.6799999999999997,-2,1
Duke,Connecticut,32.33,28.3,120.8,117.8,88.5,89.5,12.59,8.93,109.5,107.7,96.9,98.8,78,79,4.029999999999998,-1,1
Georgia Tech,Connecticut,24.69,28.3,113.5,117.8,88.8,89.5,13.74,8.93,110.8,107.7,97.1,98.8,73,82,-3.6099999999999994,-9,1
Illinois,Fairleigh Dickinson,32.68,-2.52,122.3,102.7,89.6,105.2,8.16,-7.88,107.3,99.4,99.1,107.3,67,55,35.2,12,0
Oklahoma St.,Southeastern Louisiana,25.02,3.2,121.2,97.1,96.2,93.9,9.59,-4.75,108.0,100.3,98.4,105.1,63,50,21.82,13,0
Utah St.,Arizona,19.62,22.22,116.0,116.7,96.4,94.5,-2.48,8.12,101.3,107.8,103.8,99.7,53,66,-2.599999999999998,-13,1
Boston College,Penn,18.3,9.6,114.3,102.1,96.0,92.5,6.6,-1.72,105.8,101.8,99.2,103.5,85,65,8.700000000000001,20,0
Milwaukee,Alabama,14.69,20.51,110.1,118.8,95.4,98.3,2.31,6.84,104.6,106.5,102.3,99.6,83,73,-5.820000000000002,10,0
UAB,LSU,12.51,13.8,109.2,113.9,96.7,100.1,4.75,7.49,105.5,107.0,100.7,99.5,82,68,-1.290000000000001,14,0
Saint Mary's,Southern Illinois,9.41,16.75,106.8,109.1,97.4,92.4,3.04,6.1,105.2,106.7,102.2,100.6,56,65,-7.34,-9,1
Texas,Nevada,17.01,12.11,114.1,104.0,97.1,91.8,6.62,1.1,107.0,104.5,100.4,103.4,57,61,4.900000000000002,-4,1
Washington,Montana,22.18,-2.73,120.6,99.9,98.4,102.6,8.61,-4.35,107.5,100.4,98.9,104.8,88,77,24.91,11,0
Chattanooga,Wake Forest,0.03,24.86,98.9,124.3,98.8,99.5,-3.78,10.94,101.1,108.4,104.9,97.5,54,70,-24.83,-16,1
Winthrop,Gonzaga,4.97,17.88,101.5,119.3,96.5,101.4,-7.69,3.46,99.6,104.0,107.3,100.5,64,74,-12.91,-10,1
Louisville,Louisiana Lafayette,25.78,9.91,118.8,107.1,93.0,97.2,6.42,2.67,106.1,104.8,99.7,102.2,68,62,15.870000000000001,6,0
Georgia Tech,George Washington,19.23,14.41,109.2,109.9,90.0,95.5,10.91,0.49,108.9,103.6,98.0,103.1,80,68,4.82,12,0
UCLA,Texas Tech,10.74,15.47,107.8,110.3,97.1,94.8,6.73,8.93,106.7,108.8,100.0,99.9,66,78,-4.73,-12,1
Creighton,West Virginia,14.33,15.0,114.3,114.1,100.0,99.1,4.44,9.14,104.9,108.6,100.4,99.5,61,63,-0.6699999999999999,-2,1
Pacific,Pittsburgh,14.08,18.41,114.5,114.8,100.5,96.3,0.66,5.63,103.1,106.3,102.4,100.7,79,71,-4.33,8,0
Oakland,North Carolina,-1.2,32.77,108.1,122.5,109.3,89.7,1.99,11.64,105.2,108.7,103.2,97.1,68,96,-33.970000000000006,-28,1
UCF,Connecticut,-2.56,21.94,105.0,112.1,107.6,90.2,-8.61,8.52,99.0,108.5,107.7,100.0,71,77,-24.5,-6,1
Kansas,Bucknell,23.08,6.69,115.6,102.2,92.5,95.6,10.45,-2.34,108.1,101.4,97.7,103.7,63,64,16.389999999999997,-1,1
Ohio,Florida,8.29,23.93,109.8,116.4,101.5,92.5,2.72,7.13,104.9,106.6,102.2,99.5,62,67,-15.64,-5,1
New Mexico,Villanova,15.54,25.02,112.8,114.7,97.3,89.7,-0.46,9.16,103.4,107.9,103.9,98.7,47,55,-9.48,-8,1
Northern Iowa,Wisconsin,13.36,20.81,112.2,112.0,98.9,91.2,5.44,10.24,105.8,108.5,100.3,98.3,52,57,-7.449999999999999,-5,1
North Carolina St.,Charlotte,18.93,12.15,115.0,111.6,96.1,99.5,10.05,3.68,108.3,104.9,98.3,101.2,75,63,6.779999999999999,12,0
Iowa St.,Minnesota,13.02,14.06,103.1,104.0,90.1,89.9,7.22,6.18,107.5,106.0,100.3,99.8,64,53,-1.040000000000001,11,0
Duke,Delaware St.,27.41,-4.95,115.7,102.3,88.3,107.2,10.89,-7.47,109.5,97.1,98.6,104.6,63,46,32.36,17,0
Eastern Kentucky,Kentucky,1.98,24.1,102.8,113.0,100.8,88.9,-3.87,8.85,102.4,107.9,106.3,99.1,64,72,-22.12,-8,1
Niagara,Oklahoma,5.43,22.55,115.2,114.4,109.8,91.8,-3.52,7.68,101.3,107.5,104.8,99.8,67,84,-17.12,-17,1
Vermont,Syracuse,13.53,20.98,111.3,115.6,97.8,94.7,-1.71,6.29,100.7,106.8,102.4,100.5,60,57,-7.450000000000001,3,0
Michigan St.,Old Dominion,25.67,10.04,119.7,104.7,94.0,94.6,7.89,-3.2,107.0,101.0,99.1,104.2,89,81,15.630000000000003,8,0
Utah,UTEP,20.33,11.62,113.1,112.7,92.7,101.1,3.6,-0.68,105.9,102.2,102.3,102.9,60,54,8.709999999999999,6,0
Cincinnati,Iowa,20.43,17.17,112.5,111.9,92.0,94.7,5.48,9.51,106.1,107.4,100.6,97.9,76,64,3.259999999999998,12,0
Mississippi St.,Stanford,15.25,10.63,109.3,106.6,94.0,95.9,6.49,8.47,106.9,107.5,100.4,99.1,93,70,4.619999999999999,23,0
Nevada,Illinois,12.11,32.68,104.0,122.3,91.8,89.6,1.1,8.16,104.5,107.3,103.4,99.1,59,71,-20.57,-12,1
Oklahoma St.,Southern Illinois,25.02,16.75,121.2,109.1,96.2,92.4,9.59,6.1,108.0,106.7,98.4,100.6,85,77,8.27,8,0
UAB,Arizona,12.51,22.22,109.2,116.7,96.7,94.5,4.75,8.12,105.5,107.8,100.7,99.7,63,85,-9.709999999999999,-22,1
Boston College,Milwaukee,18.3,14.69,114.3,110.1,96.0,95.4,6.6,2.31,105.8,104.6,99.2,102.3,75,83,3.610000000000001,-8,1
Washington,Pacific,22.18,14.08,120.6,114.5,98.4,100.5,8.61,0.66,107.5,103.1,98.9,102.4,97,79,8.1,18,0
West Virginia,Wake Forest,15.0,24.86,114.1,124.3,99.1,99.5,9.14,10.94,108.6,108.4,99.5,97.5,111,105,-9.86,6,0
Gonzaga,Texas Tech,17.88,15.47,119.3,110.3,101.4,94.8,3.46,8.93,104.0,108.8,100.5,99.9,69,71,2.4099999999999984,-2,1
Georgia Tech,Louisville,19.23,25.78,109.2,118.8,90.0,93.0,10.91,6.42,108.9,106.1,98.0,99.7,54,76,-6.550000000000001,-22,1
North Carolina,Iowa St.,32.77,13.02,122.5,103.1,89.7,90.1,11.64,7.22,108.7,107.5,97.1,100.3,92,65,19.750000000000004,27,0
Connecticut,North Carolina St.,21.94,18.93,112.1,115.0,90.2,96.1,8.52,10.05,108.5,108.3,100.0,98.3,62,65,3.0100000000000016,-3,1
Bucknell,Wisconsin,6.69,20.81,102.2,112.0,95.6,91.2,-2.34,10.24,101.4,108.5,103.7,98.3,62,71,-14.119999999999997,-9,1
Villanova,Florida,25.02,23.93,114.7,116.4,89.7,92.5,9.16,7.13,107.9,106.6,98.7,99.5,76,65,1.0899999999999999,11,0
Duke,Mississippi St.,27.41,15.25,115.7,109.3,88.3,94.0,10.89,6.49,109.5,106.9,98.6,100.4,63,55,12.16,8,0
Cincinnati,Kentucky,20.43,24.1,112.5,113.0,92.0,88.9,5.48,8.85,106.1,107.9,100.6,99.1,60,69,-3.6700000000000017,-9,1
Utah,Oklahoma,20.33,22.55,113.1,114.4,92.7,91.8,3.6,7.68,105.9,107.5,102.3,99.8,67,58,-2.2200000000000024,9,0
Michigan St.,Vermont,25.67,13.53,119.7,111.3,94.0,97.8,7.89,-1.71,107.0,100.7,99.1,102.4,72,61,12.140000000000002,11,0
Illinois,Milwaukee,32.68,14.69,122.3,110.1,89.6,95.4,8.16,2.31,107.3,104.6,99.1,102.3,77,63,17.990000000000002,14,0
Oklahoma St.,Arizona,25.02,22.22,121.2,116.7,96.2,94.5,9.59,8.12,108.0,107.8,98.4,99.7,78,79,2.8000000000000007,-1,1
Louisville,Washington,25.78,22.18,118.8,120.6,93.0,98.4,6.42,8.61,106.1,107.5,99.7,98.9,93,79,3.6000000000000014,14,0
Texas Tech,West Virginia,15.47,15.0,110.3,114.1,94.8,99.1,8.93,9.14,108.8,108.6,99.9,99.5,60,65,0.47000000000000064,-5,1
Villanova,North Carolina,25.02,32.77,114.7,122.5,89.7,89.7,9.16,11.64,107.9,108.7,98.7,97.1,66,67,-7.7500000000000036,-1,1
Wisconsin,North Carolina St.,20.81,18.93,112.0,115.0,91.2,96.1,10.24,10.05,108.5,108.3,98.3,98.3,65,56,1.879999999999999,9,0
Michigan St.,Duke,25.67,27.41,119.7,115.7,94.0,88.3,7.89,10.89,107.0,109.5,99.1,98.6,78,68,-1.7399999999999984,10,0
Kentucky,Utah,24.1,20.33,113.0,113.1,88.9,92.7,8.85,3.6,107.9,105.9,99.1,102.3,62,52,3.770000000000003,10,0
Illinois,Arizona,32.68,22.22,122.3,116.7,89.6,94.5,8.16,8.12,107.3,107.8,99.1,99.7,90,89,10.46,1,0
West Virginia,Louisville,15.0,25.78,114.1,118.8,99.1,93.0,9.14,6.42,108.6,106.1,99.5,99.7,85,93,-10.780000000000001,-8,1
Wisconsin,North Carolina,20.81,32.77,112.0,122.5,91.2,89.7,10.24,11.64,108.5,108.7,98.3,97.1,82,88,-11.960000000000004,-6,1
Kentucky,Michigan St.,24.1,25.67,113.0,119.7,88.9,94.0,8.85,7.89,107.9,107.0,99.1,99.1,88,94,-1.5700000000000003,-6,1
Louisville,Illinois,25.78,32.68,118.8,122.3,93.0,89.6,6.42,8.16,106.1,107.3,99.7,99.1,57,72,-6.899999999999999,-15,1
Michigan St.,North Carolina,25.67,32.77,119.7,122.5,94.0,89.7,7.89,11.64,107.0,108.7,99.1,97.1,71,87,-7.100000000000001,-16,1
North Carolina,Illinois,32.77,32.68,122.5,122.3,89.7,89.6,11.64,8.16,108.7,107.3,97.1,99.1,75,70,0.09000000000000341,5,0
Southern,Duke,-3.4,27.54,96.2,119.4,99.6,91.8,-7.68,10.51,96.6,108.1,104.3,97.6,54,70,-30.939999999999998,-16,1
Penn,Texas,7.3,25.79,101.8,117.5,94.5,91.7,-5.06,7.79,100.0,106.1,105.0,98.3,52,60,-18.49,-8,1
Iowa,Northwestern St.,18.22,7.51,103.8,106.6,85.6,99.1,7.86,-1.45,107.7,102.2,99.9,103.6,63,64,10.709999999999999,-1,1
LSU,Iona,22.0,11.33,109.8,109.7,87.8,98.4,10.68,0.66,108.3,106.0,97.6,105.3,80,64,10.67,16,0
Syracuse,Texas A&M,13.15,15.9,110.0,106.7,96.8,90.8,8.71,4.22,107.5,104.8,98.8,100.6,58,66,-2.75,-8,1
West Virginia,Southern Illinois,19.49,13.6,116.1,102.9,96.6,89.3,10.37,5.81,108.4,103.6,98.0,97.8,64,46,5.889999999999999,18,0
North Carolina St.,California,15.92,13.68,112.5,110.5,96.6,96.8,6.74,7.59,107.1,106.8,100.3,99.3,58,52,2.24,6,0
George Washington,UNC Wilmington,14.67,14.77,110.3,107.2,95.6,92.4,-1.23,1.59,101.1,103.6,102.4,102.0,88,85,-0.09999999999999964,3,0
Oral Roberts,Memphis,5.7,23.54,107.1,113.2,101.4,89.6,-3.45,3.89,102.8,103.9,106.2,100.0,78,94,-17.84,-16,1
UCLA,Belmont,23.4,-0.73,112.7,107.1,89.3,107.8,8.3,-8.62,107.4,99.7,99.1,108.4,78,44,24.13,34,0
Xavier,Gonzaga,12.73,15.64,110.9,119.1,98.2,103.5,1.91,4.38,103.6,104.4,101.6,100.0,75,79,-2.91,-4,1
Bradley,Kansas,16.5,23.22,107.5,110.4,91.0,87.2,6.94,6.03,105.4,106.0,98.5,99.9,77,73,-6.719999999999999,4,0
Pittsburgh,Kent St.,21.72,10.54,112.4,108.3,90.6,97.8,7.81,0.67,108.0,103.2,100.1,102.5,79,64,11.18,15,0
Indiana,San Diego St.,15.53,12.78,110.0,112.8,94.4,100.0,9.77,2.27,108.8,103.7,99.0,101.5,87,83,2.75,4,0
Alabama,Marquette,12.48,15.36,112.8,112.8,100.3,97.4,9.21,8.82,107.7,108.6,98.4,99.8,90,85,-2.879999999999999,5,0
Arkansas,Bucknell,18.47,12.56,112.2,105.7,93.8,93.1,6.35,-3.17,106.0,100.2,99.6,103.4,55,59,5.909999999999998,-4,1
Albany,Connecticut,2.63,25.44,106.2,117.8,103.6,92.3,-5.65,8.98,99.6,107.4,105.3,98.4,59,72,-22.810000000000002,-13,1
Tennessee,Winthrop,19.44,10.27,116.6,104.4,97.2,94.2,9.44,-5.29,108.0,102.1,98.5,107.4,63,61,9.170000000000002,2,0
North Carolina,Murray St.,22.16,8.56,115.9,104.5,93.7,96.0,9.1,-5.31,107.6,102.3,98.6,107.6,69,65,13.6,4,0
Air Force,Illinois,14.87,23.2,113.2,114.5,98.3,91.3,0.57,6.77,102.8,106.4,102.2,99.6,69,78,-8.33,-9,1
Utah St.,Washington,10.86,20.09,113.4,114.8,102.6,94.7,1.59,5.21,102.8,105.5,101.2,100.3,61,75,-9.23,-14,1
George Mason,Michigan St.,18.16,16.02,109.7,116.3,91.5,100.3,4.11,8.89,105.3,106.4,101.2,97.5,75,65,2.1400000000000006,10,0
Seton Hall,Wichita St.,9.06,16.06,106.5,111.8,97.4,95.7,6.93,6.03,106.0,104.7,99.1,98.7,66,86,-6.999999999999998,-20,1
Kentucky,UAB,17.13,12.65,114.4,109.1,97.3,96.5,10.02,1.51,108.2,101.8,98.2,100.3,69,64,4.479999999999999,5,0
Monmouth,Villanova,-0.68,24.59,95.8,116.3,96.4,91.7,-3.55,10.79,101.2,108.4,104.7,97.6,45,58,-25.27,-13,1
Davidson,Ohio St.,4.86,20.68,109.9,113.0,105.0,92.3,-3.3,6.74,101.4,107.0,104.7,100.3,62,70,-15.82,-8,1
Florida,South Alabama,28.28,9.28,117.9,109.1,89.7,99.9,8.35,-2.51,107.7,100.8,99.3,103.3,76,50,19.0,26,0
Pacific,Boston College,10.87,18.65,109.8,117.8,99.0,99.2,-1.99,7.43,102.7,107.1,104.7,99.7,76,88,-7.779999999999999,-12,1
Montana,Nevada,8.95,15.22,111.6,110.0,102.7,94.8,-0.62,1.9,103.6,103.6,104.2,101.7,87,79,-6.270000000000001,8,0
Oklahoma,Milwaukee,13.99,11.86,113.0,108.3,99.0,96.5,6.16,1.54,105.5,104.9,99.3,103.4,74,82,2.130000000000001,-8,1
Northern Iowa,Georgetown,15.84,21.29,109.0,116.5,93.1,95.2,6.18,9.58,104.4,108.1,98.2,98.5,49,54,-5.449999999999999,-5,1
Wisconsin,Arizona,14.94,17.23,111.5,112.2,96.6,95.0,7.96,10.53,106.6,108.0,98.6,97.5,75,94,-2.290000000000001,-19,1
Duke,George Washington,27.54,14.67,119.4,110.3,91.8,95.6,10.51,-1.23,108.1,101.1,97.6,102.4,74,61,12.87,13,0
Texas,North Carolina St.,25.79,15.92,117.5,112.5,91.7,96.6,7.79,6.74,106.1,107.1,98.3,100.3,75,54,9.87,21,0
Northwestern St.,West Virginia,7.51,19.49,106.6,116.1,99.1,96.6,-1.45,10.37,102.2,108.4,103.6,98.0,54,67,-11.979999999999999,-13,1
LSU,Texas A&M,22.0,15.9,109.8,106.7,87.8,90.8,10.68,4.22,108.3,104.8,97.6,100.6,58,57,6.1,1,0
Bucknell,Memphis,12.56,23.54,105.7,113.2,93.1,89.6,-3.17,3.89,100.2,103.9,103.4,100.0,56,72,-10.979999999999999,-16,1
Alabama,UCLA,12.48,23.4,112.8,112.7,100.3,89.3,9.21,8.3,107.7,107.4,98.4,99.1,59,62,-10.919999999999998,-3,1
Gonzaga,Indiana,15.64,15.53,119.1,110.0,103.5,94.4,4.38,9.77,104.4,108.8,100.0,99.0,90,80,0.11000000000000121,10,0
Pittsburgh,Bradley,21.72,16.5,112.4,107.5,90.6,91.0,7.81,6.94,108.0,105.4,100.1,98.5,66,72,5.219999999999999,-6,1
Connecticut,Kentucky,25.44,17.13,117.8,114.4,92.3,97.3,8.98,10.02,107.4,108.2,98.4,98.2,87,83,8.310000000000002,4,0
Wichita St.,Tennessee,16.06,19.44,111.8,116.6,95.7,97.2,6.03,9.44,104.7,108.0,98.7,98.5,80,73,-3.3800000000000026,7,0
George Mason,North Carolina,18.16,22.16,109.7,115.9,91.5,93.7,4.11,9.1,105.3,107.6,101.2,98.6,65,60,-4.0,5,0
Illinois,Washington,23.2,20.09,114.5,114.8,91.3,94.7,6.77,5.21,106.4,105.5,99.6,100.3,64,67,3.1099999999999994,-3,1
Villanova,Arizona,24.59,17.23,116.3,112.2,91.7,95.0,10.79,10.53,108.4,108.0,97.6,97.5,82,78,7.359999999999999,4,0
Ohio St.,Georgetown,20.68,21.29,113.0,116.5,92.3,95.2,6.74,9.58,107.0,108.1,100.3,98.5,52,70,-0.6099999999999994,-18,1
Florida,Milwaukee,28.28,11.86,117.9,108.3,89.7,96.5,8.35,1.54,107.7,104.9,99.3,103.4,82,60,16.42,22,0
Montana,Boston College,8.95,18.65,111.6,117.8,102.7,99.2,-0.62,7.43,103.6,107.1,104.2,99.7,56,69,-9.7,-13,1
LSU,Duke,22.0,27.54,109.8,119.4,87.8,91.8,10.68,10.51,108.3,108.1,97.6,97.6,62,54,-5.539999999999999,8,0
Texas,West Virginia,25.79,19.49,117.5,116.1,91.7,96.6,7.79,10.37,106.1,108.4,98.3,98.0,74,71,6.300000000000001,3,0
Memphis,Bradley,23.54,16.5,113.2,107.5,89.6,91.0,3.89,6.94,103.9,105.4,100.0,98.5,80,64,7.039999999999999,16,0
UCLA,Gonzaga,23.4,15.64,112.7,119.1,89.3,103.5,8.3,4.38,107.4,104.4,99.1,100.0,73,71,7.759999999999998,2,0
Connecticut,Washington,25.44,20.09,117.8,114.8,92.3,94.7,8.98,5.21,107.4,105.5,98.4,100.3,98,92,5.350000000000001,6,0
Wichita St.,George Mason,16.06,18.16,111.8,109.7,95.7,91.5,6.03,4.11,104.7,105.3,98.7,101.2,55,63,-2.1000000000000014,-8,1
Villanova,Boston College,24.59,18.65,116.3,117.8,91.7,99.2,10.79,7.43,108.4,107.1,97.6,99.7,60,59,5.940000000000001,1,0
Florida,Georgetown,28.28,21.29,117.9,116.5,89.7,95.2,8.35,9.58,107.7,108.1,99.3,98.5,57,53,6.990000000000002,4,0
Texas,LSU,25.79,22.0,117.5,109.8,91.7,87.8,7.79,10.68,106.1,108.3,98.3,97.6,60,70,3.789999999999999,-10,1
Memphis,UCLA,23.54,23.4,113.2,112.7,89.6,89.3,3.89,8.3,103.9,107.4,100.0,99.1,45,50,0.14000000000000057,-5,1
Connecticut,George Mason,25.44,18.16,117.8,109.7,92.3,91.5,8.98,4.11,107.4,105.3,98.4,101.2,84,86,7.280000000000001,-2,1
Florida,Villanova,28.28,24.59,117.9,116.3,89.7,91.7,8.35,10.79,107.7,108.4,99.3,97.6,75,62,3.6900000000000013,13,0
LSU,UCLA,22.0,23.4,109.8,112.7,87.8,89.3,10.68,8.3,108.3,107.4,97.6,99.1,45,59,-1.3999999999999986,-14,1
George Mason,Florida,18.16,28.28,109.7,117.9,91.5,89.7,4.11,8.35,105.3,107.7,101.2,99.3,58,73,-10.120000000000001,-15,1
Florida,UCLA,28.28,23.4,117.9,112.7,89.7,89.3,8.35,8.3,107.7,107.4,99.3,99.1,73,57,4.880000000000003,16,0
Jackson St.,Florida,-9.48,30.81,100.2,122.8,109.7,92.0,-10.16,8.73,95.6,109.1,105.8,100.3,69,112,-40.29,-43,1
Wisconsin,Texas A&M Corpus Chris,25.45,7.76,115.6,114.1,90.1,106.4,7.78,-5.12,108.1,100.8,100.3,105.9,76,63,17.689999999999998,13,0
Miami OH,Oregon,8.38,20.76,105.7,118.3,97.4,97.6,4.09,7.19,106.2,108.0,102.1,100.8,56,58,-12.38,-2,1
Davidson,Maryland,13.32,22.42,111.8,112.4,98.5,90.0,-1.7,8.48,103.2,108.9,104.9,100.4,70,82,-9.100000000000001,-12,1
Old Dominion,Butler,12.7,21.45,108.6,118.0,95.9,96.5,0.84,4.77,105.6,106.6,104.8,101.8,46,57,-8.75,-11,1
Winthrop,Notre Dame,14.81,20.02,112.9,118.1,98.0,98.1,-2.71,4.03,103.1,105.9,105.8,101.9,74,64,-5.209999999999999,10,0
UNLV,Georgia Tech,16.83,19.61,112.6,116.9,95.8,97.3,5.61,9.63,109.1,109.5,103.5,99.9,67,63,-2.780000000000001,4,0
Arizona,Purdue,19.43,18.31,119.5,110.7,100.1,92.4,12.2,9.37,110.4,109.8,98.2,100.4,63,72,1.120000000000001,-9,1
Kansas,Niagara,27.81,-2.76,115.3,107.2,87.5,110.0,6.86,-6.17,108.1,101.3,101.2,107.5,107,67,30.57,40,0
UCLA,Weber St.,27.15,-2.71,115.4,102.1,88.3,104.8,11.08,-3.46,111.0,104.8,99.9,108.3,70,42,29.86,28,0
Pittsburgh,Wright St.,22.9,6.66,118.1,104.5,95.2,97.8,9.54,0.23,109.6,105.7,100.1,105.5,79,58,16.24,21,0
Holy Cross,Southern Illinois,7.4,21.03,103.0,109.8,95.6,88.8,-3.7,10.19,101.5,110.2,105.2,100.0,51,61,-13.63,-10,1
Virginia Tech,Illinois,17.38,17.5,112.4,107.3,95.0,89.8,9.85,8.06,109.9,108.4,100.1,100.4,54,52,-0.120000000000001,2,0
VCU,Duke,14.55,23.3,116.6,113.2,102.0,89.9,0.2,11.3,104.2,110.7,104.0,99.4,79,77,-8.75,2,0
Indiana,Gonzaga,21.58,15.31,115.4,115.3,93.8,100.0,9.96,4.15,108.5,106.7,98.5,102.5,70,57,6.269999999999998,13,0
Villanova,Kentucky,20.11,21.73,113.4,117.0,93.3,95.3,11.02,13.23,110.5,111.0,99.5,97.8,58,67,-1.620000000000001,-9,1
Eastern Kentucky,North Carolina,-2.58,31.37,102.7,121.0,105.3,89.6,-6.17,10.95,101.8,111.0,107.9,100.1,65,85,-33.95,-20,1
Georgetown,Belmont,28.48,4.38,122.0,106.6,93.5,102.2,10.41,-6.74,109.7,100.0,99.3,106.8,80,55,24.1,25,0
Oral Roberts,Washington St.,8.36,18.87,107.1,111.7,98.7,92.8,-0.93,6.79,104.9,107.6,105.8,100.9,54,70,-10.510000000000002,-16,1
Texas,New Mexico St.,19.24,7.27,119.5,108.3,100.3,101.1,7.56,-0.3,108.1,104.2,100.6,104.5,79,67,11.969999999999999,12,0
Arkansas,USC,16.62,16.86,110.6,111.0,93.9,94.2,10.1,8.26,110.3,108.3,100.2,100.0,60,77,-0.23999999999999844,-17,1
Vanderbilt,George Washington,16.23,7.28,115.7,105.0,99.4,97.7,9.34,-0.57,109.5,104.7,100.2,105.3,77,44,8.95,33,0
Boston College,Texas Tech,16.18,10.98,117.3,112.2,101.1,101.3,10.36,7.79,110.7,108.3,100.4,100.5,84,75,5.199999999999999,9,0
Michigan St.,Marquette,20.97,17.18,112.8,111.8,91.8,94.6,9.07,7.59,109.2,108.3,100.2,100.7,61,49,3.789999999999999,12,0
Ohio St.,Central Connecticut,29.33,-2.24,121.0,104.1,91.7,106.3,9.82,-8.44,109.0,100.4,99.2,108.8,78,57,31.57,21,0
Memphis,North Texas,24.81,-0.98,115.4,103.0,90.6,104.0,2.93,-6.4,105.3,102.2,102.4,108.6,73,58,25.79,15,0
Penn,Texas A&M,7.69,26.97,109.8,119.3,102.1,92.3,-2.74,5.38,102.5,106.7,105.3,101.4,52,68,-19.279999999999998,-16,1
Albany,Virginia,2.25,15.43,107.4,114.1,105.2,98.7,-3.47,8.27,102.4,109.2,105.9,100.9,57,84,-13.18,-27,1
Long Beach St.,Tennessee,5.44,18.29,112.2,115.9,106.8,97.6,-3.34,10.57,102.0,110.3,105.4,99.8,86,121,-12.849999999999998,-35,1
Stanford,Louisville,12.37,20.35,109.7,113.5,97.3,93.1,9.5,7.29,109.2,107.9,99.7,100.6,58,78,-7.980000000000002,-20,1
Nevada,Creighton,16.09,18.53,117.2,113.8,101.2,95.3,1.98,8.84,104.2,108.3,102.2,99.4,77,71,-2.4400000000000013,6,0
Xavier,BYU,18.13,16.11,117.3,116.7,99.2,100.6,2.83,4.24,106.5,106.8,103.6,102.5,79,77,2.0199999999999996,2,0
Purdue,Florida,18.31,30.81,110.7,122.8,92.4,92.0,9.37,8.73,109.8,109.1,100.4,100.3,67,74,-12.5,-7,1
UNLV,Wisconsin,16.83,25.45,112.6,115.6,95.8,90.1,5.61,7.78,109.1,108.1,103.5,100.3,74,68,-8.620000000000001,6,0
Oregon,Winthrop,20.76,14.81,118.3,112.9,97.6,98.0,7.19,-2.71,108.0,103.1,100.8,105.8,75,61,5.950000000000001,14,0
Butler,Maryland,21.45,22.42,118.0,112.4,96.5,90.0,4.77,8.48,106.6,108.9,101.8,100.4,62,59,-0.9700000000000024,3,0
Kansas,Kentucky,27.81,21.73,115.3,117.0,87.5,95.3,6.86,13.23,108.1,111.0,101.2,97.8,88,76,6.079999999999998,12,0
Indiana,UCLA,21.58,27.15,115.4,115.4,93.8,88.3,9.96,11.08,108.5,111.0,98.5,99.9,49,54,-5.57,-5,1
Pittsburgh,VCU,22.9,14.55,118.1,116.6,95.2,102.0,9.54,0.2,109.6,104.2,100.1,104.0,84,79,8.349999999999998,5,0
Virginia Tech,Southern Illinois,17.38,21.03,112.4,109.8,95.0,88.8,9.85,10.19,109.9,110.2,100.1,100.0,48,63,-3.650000000000002,-15,1
North Carolina,Michigan St.,31.37,20.97,121.0,112.8,89.6,91.8,10.95,9.07,111.0,109.2,100.1,100.2,81,67,10.400000000000002,14,0
Georgetown,Boston College,28.48,16.18,122.0,117.3,93.5,101.1,10.41,10.36,109.7,110.7,99.3,100.4,62,55,12.3,7,0
Washington St.,Vanderbilt,18.87,16.23,111.7,115.7,92.8,99.4,6.79,9.34,107.6,109.5,100.9,100.2,74,78,2.6400000000000006,-4,1
Texas,USC,19.24,16.86,119.5,111.0,100.3,94.2,7.56,8.26,108.1,108.3,100.6,100.0,68,87,2.379999999999999,-19,1
Ohio St.,Xavier,29.33,18.13,121.0,117.3,91.7,99.2,9.82,2.83,109.0,106.5,99.2,103.6,78,71,11.2,7,0
Nevada,Memphis,16.09,24.81,117.2,115.4,101.2,90.6,1.98,2.93,104.2,105.3,102.2,102.4,62,78,-8.719999999999999,-16,1
Texas A&M,Louisville,26.97,20.35,119.3,113.5,92.3,93.1,5.38,7.29,106.7,107.9,101.4,100.6,72,69,6.619999999999997,3,0
Tennessee,Virginia,18.29,15.43,115.9,114.1,97.6,98.7,10.57,8.27,110.3,109.2,99.8,100.9,77,74,2.8599999999999994,3,0
