Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,Score1,Score2,Eff_Diff,Score_Diff,Winner
Maryland,Wisconsin,29.25,13.22,119.2,110.7,89.9,97.5,9.88,10.57,109.4,109.1,99.5,98.6,87,57,16.03,30,0
Connecticut,North Carolina St.,19.36,19.15,112.2,113.2,92.8,94.0,8.19,8.28,107.5,108.8,99.3,100.6,77,74,0.21000000000000085,3,0
Georgia,Southern Illinois,18.44,13.45,116.7,109.2,98.3,95.7,9.88,2.12,108.3,105.4,98.4,103.3,75,77,4.990000000000002,-2,1
Kentucky,Tulsa,22.21,15.59,113.4,116.0,91.2,100.4,12.97,2.03,110.3,103.9,97.4,101.9,87,82,6.620000000000001,5,0
Stanford,Kansas,20.32,28.99,116.6,118.7,96.3,89.7,10.33,10.67,110.4,110.5,100.1,99.9,63,86,-8.669999999999998,-23,1
Wake Forest,Oregon,17.35,22.97,118.6,119.2,101.3,96.3,11.24,8.15,109.3,108.3,98.1,100.2,87,92,-5.619999999999997,-5,1
Mississippi St.,Texas,18.25,17.69,111.4,116.0,93.1,98.3,8.93,10.18,106.9,109.3,98.0,99.1,64,68,0.5599999999999987,-4,1
Creighton,Illinois,11.82,23.21,111.3,115.7,99.5,92.5,1.39,10.6,105.0,110.0,103.7,99.4,60,72,-11.39,-12,1
Duke,Indiana,34.19,24.8,121.0,114.0,86.8,89.2,9.87,14.12,109.3,111.1,99.5,96.9,73,74,9.389999999999997,-1,1
Kent St.,Pittsburgh,20.39,19.94,116.7,112.1,96.4,92.2,3.11,3.12,106.3,103.9,103.2,100.8,78,73,0.4499999999999993,5,0
Missouri,UCLA,17.49,16.34,116.2,113.7,98.7,97.3,7.92,12.0,108.2,110.3,100.3,98.3,82,73,1.1499999999999986,9,0
Arizona,Oklahoma,20.54,26.04,119.3,114.9,98.8,88.9,14.22,8.77,111.5,109.2,97.3,100.4,67,88,-5.5,-21,1
Maryland,Kentucky,29.25,22.21,119.2,113.4,89.9,91.2,9.88,12.97,109.4,110.3,99.5,97.4,78,68,7.039999999999999,10,0
Southern Illinois,Connecticut,13.45,19.36,109.2,112.2,95.7,92.8,2.12,8.19,105.4,107.5,103.3,99.3,59,71,-5.91,-12,1
Illinois,Kansas,23.21,28.99,115.7,118.7,92.5,89.7,10.6,10.67,110.0,110.5,99.4,99.9,69,73,-5.779999999999998,-4,1
Texas,Oregon,17.69,22.97,116.0,119.2,98.3,96.3,10.18,8.15,109.3,108.3,99.1,100.2,70,72,-5.279999999999998,-2,1
Indiana,Kent St.,24.8,20.39,114.0,116.7,89.2,96.4,14.12,3.11,111.1,106.3,96.9,103.2,81,69,4.41,12,0
Oklahoma,Missouri,26.04,17.49,114.9,116.2,88.9,98.7,8.77,7.92,109.2,108.2,100.4,100.3,81,75,8.55,6,0
Maryland,Connecticut,29.25,19.36,119.2,112.2,89.9,92.8,9.88,8.19,109.4,107.5,99.5,99.3,90,82,9.89,8,0
Oregon,Kansas,22.97,28.99,119.2,118.7,96.3,89.7,8.15,10.67,108.3,110.5,100.2,99.9,86,104,-6.02,-18,1
Indiana,Oklahoma,24.8,26.04,114.0,114.9,89.2,88.9,14.12,8.77,111.1,109.2,96.9,100.4,73,64,-1.2399999999999984,9,0
Kansas,Maryland,28.99,29.25,118.7,119.2,89.7,89.9,10.67,9.88,110.5,109.4,99.9,99.5,88,97,-0.26000000000000156,-9,1
Indiana,Maryland,24.8,29.25,114.0,119.2,89.2,89.9,14.12,9.88,111.1,109.4,96.9,99.5,52,64,-4.449999999999999,-12,1
IUPUI,Kentucky,0.46,29.18,102.9,116.5,102.5,87.4,-2.19,11.2,102.6,108.6,104.8,97.4,64,95,-28.72,-31,1
Pittsburgh,Wagner,28.61,-1.16,114.8,104.7,86.2,105.9,7.07,-7.45,105.5,98.9,98.4,106.3,87,61,29.77,26,0
Holy Cross,Marquette,10.4,21.3,105.5,120.5,95.1,99.2,-5.57,7.94,99.0,106.0,104.6,98.0,68,72,-10.9,-4,1
Dayton,Tulsa,14.53,13.04,116.4,107.9,101.9,94.9,4.93,1.05,104.4,102.7,99.5,101.7,71,84,1.4900000000000002,-13,1
Weber St.,Wisconsin,8.88,22.07,111.4,114.4,102.5,92.4,-1.73,6.46,100.5,106.1,102.2,99.6,74,81,-13.19,-7,1
Southern Illinois,Missouri,11.76,17.32,110.3,111.5,98.6,94.2,1.97,11.14,103.5,107.1,101.5,96.0,71,72,-5.5600000000000005,-1,1
Indiana,Alabama,14.48,14.6,113.4,110.3,98.9,95.7,10.49,9.55,107.3,106.6,96.8,97.1,67,62,-0.11999999999999922,5,0
Oregon,Utah,14.25,14.04,111.4,106.6,97.1,92.6,5.24,5.23,105.0,106.8,99.8,101.6,58,60,0.21000000000000085,-2,1
Arizona,Vermont,26.8,1.57,115.6,101.1,88.8,99.5,8.69,-5.13,107.2,99.3,98.5,104.4,80,51,25.23,29,0
Kansas,Utah St.,28.62,7.41,115.0,107.1,86.4,99.7,11.84,-2.0,108.7,101.1,96.8,103.1,64,61,21.21,3,0
Colorado St.,Duke,5.96,23.75,110.6,115.0,104.6,91.3,4.39,8.85,104.7,107.1,100.3,98.3,57,67,-17.79,-10,1
Illinois,Western Kentucky,24.47,11.75,113.2,108.0,88.7,96.3,7.29,1.09,105.8,103.1,98.5,102.0,65,60,12.719999999999999,5,0
Milwaukee,Notre Dame,12.97,20.31,109.0,116.5,96.0,96.2,2.06,11.0,104.9,107.3,102.8,96.3,69,70,-7.339999999999998,-1,1
Central Michigan,Creighton,10.01,17.54,109.5,112.4,99.4,94.9,2.06,-0.19,104.3,102.5,102.3,102.7,79,73,-7.529999999999999,6,0
Memphis,Arizona St.,16.72,16.49,110.9,113.9,94.1,97.4,4.84,8.74,103.4,106.4,98.5,97.7,71,84,0.23000000000000043,-13,1
Cincinnati,Gonzaga,14.69,15.58,105.0,113.2,90.3,97.7,7.35,3.93,106.6,103.9,99.3,100.0,69,74,-0.8900000000000006,-5,1
