Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,BPI_Off1,BPI_Off2,BPI_Def1,BPI_Def2,BPI1,BPI2,Elo1,Elo2,Score1,Score2,Eff_Diff,Score_Diff,Winner
Western Kentucky,Drake,14.6,21.46,111.9,120,97.3,98.5,-0.85,4.89,103.3,105.5,104.2,100.6,7.5,5.4,0.6,4.9,8.2,10.3,1673.203507,1720.561497,101,99,-6.86,2,0
Baylor,Purdue,14.82,18.3,115.7,110.5,100.9,92.2,7.58,6.41,106.9,106.2,99.3,99.7,12.6,3.9,-4.8,6,7.8,9.9,1650.003263,1639.665609,79,90,-3.48,-11,1
West Virginia,Arizona,21.29,19.14,114.6,116.4,93.3,97.3,9,12.72,108.5,110.3,99.5,97.6,8.9,6.6,7.7,4.1,16.6,10.7,1648.029995,1597.163292,75,65,2.15,10,0
BYU,Texas A&M,15.76,19.93,107.4,112.3,91.7,92.3,1.47,8.28,104.2,107.4,102.7,99.1,4.6,4.1,3.6,8.2,8.2,12.3,1674.003208,1667.185722,62,67,-4.17,-5,1
North Carolina,Arkansas,30.22,15.19,122.1,111.4,91.9,96.2,10.18,7.19,108,108.4,97.8,101.2,19.2,5.5,1,4.1,20.2,9.7,1796.741856,1631.563166,108,77,15.03,31,0
Butler,Tennessee,19.97,22.17,116.2,116.2,96.2,94,2.79,9.58,104.3,109.4,101.5,99.8,3.3,13.3,9.2,2.8,12.5,16.1,1724.854727,1766.51082,71,76,-2.2,-5,1
Oklahoma,Louisville,14.47,25.41,109.5,113.1,95.1,87.7,9.45,9.34,108.3,108.4,98.9,99,2.6,7.1,6.9,9.1,9.5,16.1,1630.031064,1671.16302,48,78,-10.94,-30,1
Notre Dame,Washington St.,19.07,24.32,114.6,115.1,95.6,90.8,6.88,8.99,107.5,109,100.6,100,10.6,1.1,1.6,13.2,12.2,14.3,1656.922162,1691.260923,41,61,-5.25,-20,1
Kansas,UNLV,35.21,13.71,120.9,110.2,85.7,96.5,9.57,3.1,109.2,104.3,99.6,101.2,12.4,2.6,9.6,6,21.9,8.6,1781.033225,1669.553283,75,56,21.5,19,0
Georgetown,Davidson,25.56,23.61,115.2,117,89.7,93.4,8.48,3.36,108.2,105.2,99.8,101.8,4.3,9.5,12.9,5.3,17.2,14.8,1714.822816,1656.209335,70,74,1.95,-4,1
Kansas St.,Wisconsin,18.9,26.68,114.2,113.5,95.3,86.8,9.09,7.35,108,107.1,98.9,99.8,8.6,2.1,1.1,14.4,9.6,16.5,1616.504765,1723.259336,55,72,-7.78,-17,1
Siena,Villanova,7.99,14.21,108.6,109.2,100.7,95,-1.41,9.14,104.1,108.9,105.5,99.8,6.1,5.6,-1,3.4,5.1,9,1589.985476,1601.840033,72,84,-6.22,-12,1
Memphis,Mississippi St.,31.51,16.77,118,108.2,86.5,91.5,5.83,6.22,107,108.1,101.1,101.8,11.3,5.5,8,5.5,19.3,11,1829.20976,1597.646505,77,74,14.74,3,0
Texas,Miami FL,25.09,15.38,120.6,112.5,95.5,97.1,10.37,7.78,108.4,106.7,98,98.9,9.4,8.1,4.3,2.2,13.7,10.4,1731.624558,1659.012484,75,72,9.71,3,0
Stanford,Marquette,22.75,22.16,113.6,115.3,90.9,93.1,9.32,8.62,109.1,107.9,99.7,99.3,5.5,8.3,8.6,5.9,14.1,14.2,1676.596709,1672.7637,82,81,0.59,1,0
Michigan St.,Pittsburgh,21.15,19.91,115.8,116.5,94.7,96.6,8.71,9.52,108.2,107.8,99.5,98.3,5.8,7.2,7.8,6,13.6,13.3,1698.455037,1669.678367,65,54,1.24,11,0
UCLA,Texas A&M,29.94,19.93,118,112.3,88.1,92.3,10.03,8.28,109.3,107.4,99.3,99.1,7.9,4.1,10.9,8.2,18.9,12.3,1769.606214,1667.185722,51,49,10.01,2,0
Duke,West Virginia,26.4,21.29,116.3,114.6,89.9,93.3,10.06,9,109.1,108.5,99,99.5,13.8,8.9,4.3,7.7,18.2,16.6,1739.684724,1648.029995,67,73,5.11,-6,1
Purdue,Xavier,18.3,22.05,110.5,117.3,92.2,95.2,6.41,6.94,106.2,108.1,99.7,101.2,3.9,7.9,6,6.4,9.9,14.3,1639.665609,1712.31112,78,85,-3.75,-7,1
Western Kentucky,San Diego,14.6,4.64,111.9,101.6,97.3,97,-0.85,1.43,103.3,104.3,104.2,102.9,7.5,-1.7,0.6,3.7,8.2,2,1673.203507,1561.111177,72,63,9.96,9,0
Washington St.,North Carolina,24.32,30.22,115.1,122.1,90.8,91.9,8.99,10.18,109,108,100,97.8,1.1,19.2,13.2,1,14.3,20.2,1691.260923,1796.741856,47,68,-5.9,-21,1
Louisville,Tennessee,25.41,22.17,113.1,116.2,87.7,94,9.34,9.58,108.4,109.4,99,99.8,7.1,13.3,9.1,2.8,16.1,16.1,1671.16302,1766.51082,79,60,3.24,19,0
Kansas,Villanova,35.21,14.21,120.9,109.2,85.7,95,9.57,9.14,109.2,108.9,99.6,99.8,12.4,5.6,9.6,3.4,21.9,9,1781.033225,1601.840033,72,57,21,15,0
Wisconsin,Davidson,26.68,23.61,113.5,117,86.8,93.4,7.35,3.36,107.1,105.2,99.8,101.8,2.1,9.5,14.4,5.3,16.5,14.8,1723.259336,1656.209335,56,73,3.07,-17,1
Michigan St.,Memphis,21.15,31.51,115.8,118,94.7,86.5,8.71,5.83,108.2,107,99.5,101.1,5.8,11.3,7.8,8,13.6,19.3,1698.455037,1829.20976,74,92,-10.36,-18,1
Texas,Stanford,25.09,22.75,120.6,113.6,95.5,90.9,10.37,9.32,108.4,109.1,98,99.7,9.4,5.5,4.3,8.6,13.7,14.1,1731.624558,1676.596709,82,62,2.34,20,0
UCLA,Western Kentucky,29.94,14.6,118,111.9,88.1,97.3,10.03,-0.85,109.3,103.3,99.3,104.2,7.9,7.5,10.9,0.6,18.9,8.2,1769.606214,1673.203507,88,78,15.34,10,0
West Virginia,Xavier,21.29,22.05,114.6,117.3,93.3,95.2,9,6.94,108.5,108.1,99.5,101.2,8.9,7.9,7.7,6.4,16.6,14.3,1648.029995,1712.31112,75,79,-0.76,-4,1
Louisville,North Carolina,25.41,30.22,113.1,122.1,87.7,91.9,9.34,10.18,108.4,108,99,97.8,7.1,19.2,9.1,1,16.1,20.2,1671.16302,1796.741856,73,83,-4.81,-10,1
Davidson,Kansas,23.61,35.21,117,120.9,93.4,85.7,3.36,9.57,105.2,109.2,101.8,99.6,9.5,12.4,5.3,9.6,14.8,21.9,1656.209335,1781.033225,57,59,-11.6,-2,1
Memphis,Texas,31.51,25.09,118,120.6,86.5,95.5,5.83,10.37,107,108.4,101.1,98,11.3,9.4,8,4.3,19.3,13.7,1829.20976,1731.624558,85,67,6.42,18,0
UCLA,Xavier,29.94,22.05,118,117.3,88.1,95.2,10.03,6.94,109.3,108.1,99.3,101.2,7.9,7.9,10.9,6.4,18.9,14.3,1769.606214,1712.31112,76,57,7.89,19,0
Kansas,North Carolina,35.21,30.22,120.9,122.1,85.7,91.9,9.57,10.18,109.2,108,99.6,97.8,12.4,19.2,9.6,1,21.9,20.2,1781.033225,1796.741856,84,66,4.99,18,0
Memphis,UCLA,31.51,29.94,118,118,86.5,88.1,5.83,10.03,107,109.3,101.1,99.3,11.3,7.9,8,10.9,19.3,18.9,1829.20976,1769.606214,78,63,1.57,15,0
Memphis,Kansas,31.51,35.21,118,120.9,86.5,85.7,5.83,9.57,107,109.2,101.1,99.6,11.3,12.4,8,9.6,19.3,21.9,1829.20976,1781.033225,68,75,-3.7,-7,1
