Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,BPI_Off1,BPI_Off2,BPI_Def1,BPI_Def2,BPI1,BPI2,Elo1,Elo2,Score1,Score2,Eff_Diff,Score_Diff,Winner
Villanova,North Carolina,23.89,31.14,114.4,123.2,90.5,92.1,9.99,9.91,108.9,108.2,98.9,98.3,10.5,20.3,5.3,1.2,15.9,21.5,1709.600214,1761.299207,69,83,-7.25,-14,1
North Carolina,Michigan St.,31.14,24.37,123.2,114.3,92.1,89.9,9.91,12.33,108.2,109.4,98.3,97.1,20.3,7.8,1.2,6.1,21.5,14,1761.299207,1715.174508,89,72,6.77,17,0
Kansas,Lehigh,31.85,-0.97,120.4,105.6,88.5,106.6,9.53,-10.02,108.2,96.8,98.7,106.8,13.4,4.3,7.8,-4.8,21.2,-0.6,1786.752442,1565.768676,90,74,32.82,16,0
Ohio St.,UC Santa Barbara,24.99,2.11,117.5,100,92.5,97.9,7.88,-1,106.3,102.8,98.4,103.8,8.5,-1.2,8,2.3,16.5,1.2,1672.962498,1583.982757,68,51,22.88,17,0
Georgetown,Ohio,22.64,8.25,116.8,107.3,94.2,99,11.55,0.76,109,103.1,97.4,102.3,8.3,5.9,6.2,-1.7,14.5,4.2,1665.546965,1567.960134,83,97,14.39,-14,1
Maryland,Houston,22.37,8.79,118.3,112,95.9,103.2,8.87,3.76,106.7,105,97.8,101.2,11.9,9.9,3.3,-4.6,15.2,5.3,1638.249442,1532.945742,89,77,13.58,12,0
New Mexico St.,Michigan St.,6.03,20.13,111.6,112.8,105.5,92.7,4.03,9.03,105.8,107.5,101.7,98.5,7.9,6.3,-6.5,5.9,1.4,12.2,1576.519832,1680.864781,67,70,-14.1,-3,1
San Diego St.,Tennessee,16.58,18.5,111.4,108.9,94.9,90.4,5.4,8.67,105.3,107.4,99.9,98.7,2.3,7.1,5.2,6.7,7.4,13.8,1637.988113,1688.19706,59,62,-1.92,-3,1
Oklahoma St.,Georgia Tech,16.72,18.22,112.2,109.2,95.4,91,8.47,10.94,107.2,107.4,98.7,96.4,6.1,6,3.5,5.9,9.6,11.9,1632.439624,1633.738186,59,64,-1.5,-5,1
UNLV,Northern Iowa,16.56,18.87,110.6,109.6,94,90.8,4.08,4.08,104.8,105.7,100.7,101.6,5.9,-2.7,4.9,12.9,10.8,10.3,1666.625597,1718.836602,66,69,-2.31,-3,1
Vermont,Syracuse,3.08,27.62,104.1,118.5,101,90.9,-6.32,8.62,98.8,108.5,105.1,99.8,1,13.4,1.2,5.5,2.2,18.8,1598.375264,1763.233457,56,79,-24.54,-23,1
Kansas St.,North Texas,25.52,-0.47,116.1,103.4,90.6,103.8,11.99,-5.87,109.5,99.9,97.5,105.7,11.3,2.1,3.3,-3.1,14.5,-0.9,1720.134852,1607.358074,82,62,25.99,20,0
Oakland,Pittsburgh,3.19,18.66,107.5,111.4,104.3,92.8,-2.75,7.87,101.6,107.7,104.4,99.8,6.4,3,-2.8,9.5,3.6,12.5,1615.255035,1676.716834,66,89,-15.47,-23,1
Murray St.,Vanderbilt,15.06,17.54,109,113.7,94,96.2,-5.78,8.14,100.2,107.1,106,99,4.6,9.2,6.3,3.4,10.9,12.7,1710.641154,1661.270185,66,65,-2.48,1,0
UTEP,Butler,16.53,22.45,107.7,111,91.2,88.5,2.62,6.85,104.1,106.7,101.5,99.9,6.3,3.1,4.2,9.4,10.5,12.5,1659.875298,1722.632451,59,77,-5.92,-18,1
Xavier,Minnesota,20.87,17.97,115.5,112,94.6,94.1,8.04,8.37,106.2,107.7,98.2,99.3,11.9,6.6,1.6,6.2,13.4,12.8,1650.254464,1602.832438,65,54,2.9,11,0
BYU,Florida,23.27,15.23,117.3,113,94,97.8,3.88,7.75,104.9,106.6,101,98.8,12.6,5.9,1.8,4.9,14.4,10.8,1727.259858,1625.98641,99,92,8.04,7,0
Florida St.,Gonzaga,18.02,16.14,105,112.3,87,96.1,9.01,3.42,107.3,105.5,98.3,102.1,2.7,7.5,10.4,1.5,13.1,9,1641.180151,1693.934505,60,67,1.88,-7,1
Kentucky,East Tennessee St.,26.54,2.47,114.9,100.9,88.3,98.4,7.06,-1.26,106.5,102.1,99.5,103.3,11.7,-1.1,5.5,1,17.2,-0.1,1786.895015,1547.153359,100,71,24.07,29,0
West Virginia,Morgan St.,25.54,1.58,117.2,105.5,91.7,104,12.58,-7.71,110,98.2,97.5,105.9,7.8,5.5,8.7,-3.3,16.5,2.2,1717.57736,1608.773355,77,50,23.96,27,0
New Mexico,Montana,16.18,8.08,113.6,106.5,97.4,98.4,4.09,-2.21,105,103.4,100.9,105.6,7.3,-1.2,2.4,6,9.7,4.9,1742.396119,1598.732295,62,57,8.1,5,0
Wofford,Wisconsin,10.12,23.56,104.6,115.2,94.4,91.6,-1.55,8.69,102.2,107.9,103.8,99.2,-0.2,2.3,5.9,13.6,5.7,15.9,1605.597494,1677.879133,49,53,-13.44,-4,1
Cornell,Temple,15.92,20.12,117.4,107.8,101.5,87.7,-0.66,6.07,101.2,106.4,101.9,100.3,6.9,-1.1,3.6,13.1,10.5,12,1703.807167,1705.825615,78,65,-4.2,13,0
Marquette,Washington,19.65,18.19,115.1,111.7,95.5,93.6,9.05,6.97,108,106.7,98.9,99.7,6.4,10.8,6.2,0.5,12.6,11.4,1592.952817,1641.741905,78,80,1.46,-2,1
Clemson,Missouri,19.28,19.99,110.9,111.5,91.6,91.5,8.76,8.17,106.3,107.1,97.6,98.9,7.2,9.1,6.3,4.6,13.4,13.7,1631.943769,1633.382863,78,86,-0.71,-8,1
Wake Forest,Texas,14.12,20.75,107.1,113.9,93,93.1,10.51,9.01,107.4,107.2,96.9,98.2,6.4,12.3,3.1,1.9,9.5,14.2,1621.879302,1684.173372,81,80,-6.63,1,0
Arkansas Pine Bluff,Duke,-6.44,33.29,93.1,121,99.5,87.7,-7.62,11.53,96.4,107.9,104,96.4,-4.9,12.8,1.6,9.6,-3.3,22.5,1459.438759,1748.915849,44,73,-39.73,-29,1
Robert Morris,Villanova,-0.97,21.24,99.9,117.2,100.8,96,-7.18,10.03,98.1,108.7,105.3,98.7,-0.9,14.5,0.7,0.6,-0.2,15,1550.979846,1699.579181,70,73,-22.21,-3,1
Sam Houston St.,Baylor,7.42,24.95,110.2,119.2,102.7,94.3,-3.33,10.59,101.3,108.3,104.6,97.7,6.9,9.5,-1.2,6,5.7,15.4,1645.945801,1689.234973,59,68,-17.53,-9,1
Purdue,Siena,22.05,13.86,109.8,109.4,87.7,95.5,8.81,-0.51,107.8,100.9,99,101.4,5.6,7.5,9.3,2.1,14.9,9.6,1731.409763,1667.151152,72,64,8.19,8,0
Utah St.,Texas A&M,19.9,21.33,116,112.6,96.1,91.2,1.81,11.51,105,109.4,103.2,97.9,4.1,4.4,8.7,6.8,12.8,11.2,1654.572752,1656.366471,53,69,-1.43,-16,1
Old Dominion,Notre Dame,17.51,17.71,107.8,119.4,90.3,101.7,3.17,6.28,105,106.5,101.9,100.2,0.3,8.4,11,1.1,11.3,9.4,1654.206425,1621.510856,51,50,-0.2,1,0
Richmond,Saint Mary's,15.01,18.59,108.8,116.5,93.8,97.9,5.7,2.72,105.4,105.4,99.7,102.7,2.1,8.3,7.7,0.9,9.7,9.2,1665.327836,1716.674085,71,80,-3.58,-9,1
California,Louisville,22.15,16.91,119.6,114.5,97.4,97.6,9.03,8.87,106.5,107.8,97.5,99,11.3,9.1,0.5,3.3,11.7,12.4,1651.966517,1609.815082,77,62,5.24,15,0
Kansas,Northern Iowa,31.85,18.87,120.4,109.6,88.5,90.8,9.53,4.08,108.2,105.7,98.7,101.6,13.4,-2.7,7.8,12.9,21.2,10.3,1786.752442,1718.836602,67,69,12.98,-2,1
Ohio St.,Georgia Tech,24.99,18.22,117.5,109.2,92.5,91,7.88,10.94,106.3,107.4,98.4,96.4,8.5,6,8,5.9,16.5,11.9,1672.962498,1633.738186,75,66,6.77,9,0
Tennessee,Ohio,18.5,8.25,108.9,107.3,90.4,99,8.67,0.76,107.4,103.1,98.7,102.3,7.1,5.9,6.7,-1.7,13.8,4.2,1688.19706,1567.960134,83,68,10.25,15,0
Maryland,Michigan St.,22.37,20.13,118.3,112.8,95.9,92.7,8.87,9.03,106.7,107.5,97.8,98.5,11.9,6.3,3.3,5.9,15.2,12.2,1638.249442,1680.864781,83,85,2.24,-2,1
Gonzaga,Syracuse,16.14,27.62,112.3,118.5,96.1,90.9,3.42,8.62,105.5,108.5,102.1,99.8,7.5,13.4,1.5,5.5,9,18.8,1693.934505,1763.233457,65,87,-11.48,-22,1
BYU,Kansas St.,23.27,25.52,117.3,116.1,94,90.6,3.88,11.99,104.9,109.5,101,97.5,12.6,11.3,1.8,3.3,14.4,14.5,1727.259858,1720.134852,72,84,-2.25,-12,1
Xavier,Pittsburgh,20.87,18.66,115.5,111.4,94.6,92.8,8.04,7.87,106.2,107.7,98.2,99.8,11.9,3,1.6,9.5,13.4,12.5,1650.254464,1676.716834,71,68,2.21,3,0
Murray St.,Butler,15.06,22.45,109,111,94,88.5,-5.78,6.85,100.2,106.7,106,99.9,4.6,3.1,6.3,9.4,10.9,12.5,1710.641154,1722.632451,52,54,-7.39,-2,1
Kentucky,Wake Forest,26.54,14.12,114.9,107.1,88.3,93,7.06,10.51,106.5,107.4,99.5,96.9,11.7,6.4,5.5,3.1,17.2,9.5,1786.895015,1621.879302,90,60,12.42,30,0
West Virginia,Missouri,25.54,19.99,117.2,111.5,91.7,91.5,12.58,8.17,110,107.1,97.5,98.9,7.8,9.1,8.7,4.6,16.5,13.7,1717.57736,1633.382863,68,59,5.55,9,0
Washington,New Mexico,18.19,16.18,111.7,113.6,93.6,97.4,6.97,4.09,106.7,105,99.7,100.9,10.8,7.3,0.5,2.4,11.4,9.7,1641.741905,1742.396119,82,64,2.01,18,0
Wisconsin,Cornell,23.56,15.92,115.2,117.4,91.6,101.5,8.69,-0.66,107.9,101.2,99.2,101.9,2.3,6.9,13.6,3.6,15.9,10.5,1677.879133,1703.807167,69,87,7.64,-18,1
California,Duke,22.15,33.29,119.6,121,97.4,87.7,9.03,11.53,106.5,107.9,97.5,96.4,11.3,12.8,0.5,9.6,11.7,22.5,1651.966517,1748.915849,53,68,-11.14,-15,1
Villanova,Saint Mary's,21.24,18.59,117.2,116.5,96,97.9,10.03,2.72,108.7,105.4,98.7,102.7,14.5,8.3,0.6,0.9,15,9.2,1699.579181,1716.674085,68,75,2.65,-7,1
Baylor,Old Dominion,24.95,17.51,119.2,107.8,94.3,90.3,10.59,3.17,108.3,105,97.7,101.9,9.5,0.3,6,11,15.4,11.3,1689.234973,1654.206425,76,68,7.44,8,0
Texas A&M,Purdue,21.33,22.05,112.6,109.8,91.2,87.7,11.51,8.81,109.4,107.8,97.9,99,4.4,5.6,6.8,9.3,11.2,14.9,1656.366471,1731.409763,61,63,-0.72,-2,1
Northern Iowa,Michigan St.,18.87,20.13,109.6,112.8,90.8,92.7,4.08,9.03,105.7,107.5,101.6,98.5,-2.7,6.3,12.9,5.9,10.3,12.2,1718.836602,1680.864781,52,59,-1.26,-7,1
Tennessee,Ohio St.,18.5,24.99,108.9,117.5,90.4,92.5,8.67,7.88,107.4,106.3,98.7,98.4,7.1,8.5,6.7,8,13.8,16.5,1688.19706,1672.962498,76,73,-6.49,3,0
Butler,Syracuse,22.45,27.62,111,118.5,88.5,90.9,6.85,8.62,106.7,108.5,99.9,99.8,3.1,13.4,9.4,5.5,12.5,18.8,1722.632451,1763.233457,63,59,-5.17,4,0
Kansas St.,Xavier,25.52,20.87,116.1,115.5,90.6,94.6,11.99,8.04,109.5,106.2,97.5,98.2,11.3,11.9,3.3,1.6,14.5,13.4,1720.134852,1650.254464,101,96,4.65,5,0
Cornell,Kentucky,15.92,26.54,117.4,114.9,101.5,88.3,-0.66,7.06,101.2,106.5,101.9,99.5,6.9,11.7,3.6,5.5,10.5,17.2,1703.807167,1786.895015,45,62,-10.62,-17,1
West Virginia,Washington,25.54,18.19,117.2,111.7,91.7,93.6,12.58,6.97,110,106.7,97.5,99.7,7.8,10.8,8.7,0.5,16.5,11.4,1717.57736,1641.741905,69,56,7.35,13,0
Purdue,Duke,22.05,33.29,109.8,121,87.7,87.7,8.81,11.53,107.8,107.9,99,96.4,5.6,12.8,9.3,9.6,14.9,22.5,1731.409763,1748.915849,57,70,-11.24,-13,1
Baylor,Saint Mary's,24.95,18.59,119.2,116.5,94.3,97.9,10.59,2.72,108.3,105.4,97.7,102.7,9.5,8.3,6,0.9,15.4,9.2,1689.234973,1716.674085,72,49,6.36,23,0
Michigan St.,Tennessee,20.13,18.5,112.8,108.9,92.7,90.4,9.03,8.67,107.5,107.4,98.5,98.7,6.3,7.1,5.9,6.7,12.2,13.8,1680.864781,1688.19706,70,69,1.63,1,0
Kansas St.,Butler,25.52,22.45,116.1,111,90.6,88.5,11.99,6.85,109.5,106.7,97.5,99.9,11.3,3.1,3.3,9.4,14.5,12.5,1720.134852,1722.632451,56,63,3.07,-7,1
West Virginia,Kentucky,25.54,26.54,117.2,114.9,91.7,88.3,12.58,7.06,110,106.5,97.5,99.5,7.8,11.7,8.7,5.5,16.5,17.2,1717.57736,1786.895015,73,66,-1,7,0
Baylor,Duke,24.95,33.29,119.2,121,94.3,87.7,10.59,11.53,108.3,107.9,97.7,96.4,9.5,12.8,6,9.6,15.4,22.5,1689.234973,1748.915849,71,78,-8.34,-7,1
Butler,Michigan St.,22.45,20.13,111,112.8,88.5,92.7,6.85,9.03,106.7,107.5,99.9,98.5,3.1,6.3,9.4,5.9,12.5,12.2,1722.632451,1680.864781,52,50,2.32,2,0
Duke,West Virginia,33.29,25.54,121,117.2,87.7,91.7,11.53,12.58,107.9,110,96.4,97.5,12.8,7.8,9.6,8.7,22.5,16.5,1748.915849,1717.57736,78,57,7.75,21,0
Butler,Duke,22.45,33.29,111,121,88.5,87.7,6.85,11.53,106.7,107.9,99.9,96.4,3.1,12.8,9.4,9.6,12.5,22.5,1722.632451,1748.915849,59,61,-10.84,-2,1
Ohio St.,UTSA,33.47,-5.32,125,101.8,91.5,107.1,8.82,-5.71,108.9,100.3,100,106.1,11.4,-1.9,10.4,-2.9,21.8,-4.8,1794.843333,1528.917728,75,46,38.79,29,0
North Carolina,LIU Brooklyn,22.18,5.43,111.8,109.6,89.6,104.2,11.14,-6.02,109.9,99.7,98.8,105.8,11.2,9.8,4.2,-6.7,15.4,3.1,1684.547713,1651.93118,102,87,16.75,15,0
Syracuse,Indiana St.,22.49,5.45,114.9,102.8,92.4,97.4,9.03,3.4,108.3,105.8,99.3,102.4,7.2,0.1,7.3,3.4,14.6,3.6,1706.082208,1530.54673,77,60,17.04,17,0
Princeton,Kentucky,9.09,25.82,107.2,117.8,98.1,92,-0.72,9.81,104,108.4,104.7,98.5,0.1,8.7,4.6,7.8,4.6,16.5,1653.870774,1688.661972,57,59,-16.73,-2,1
Clemson,West Virginia,18.16,20.11,109.6,114.9,91.5,94.8,6.99,12.7,106.7,111,99.7,98.3,2.3,4.5,8.4,8.4,10.7,12.9,1613.872628,1623.532554,78,84,-1.95,-6,1
Marquette,Xavier,18.14,16.02,115.5,112.8,97.3,96.8,11.06,4.49,109.4,105.4,98.4,100.9,8.1,5.2,3,5.3,11.1,10.5,1597.634099,1659.81106,66,55,2.12,11,0
Georgia,Washington,12.24,21.69,108.2,117.7,95.9,96,5.83,7.21,106.2,106.9,100.4,99.7,3.5,13.7,5.8,-0.2,9.4,13.5,1626.179598,1641.642603,65,68,-9.45,-3,1
George Mason,Villanova,18.3,17.83,114.1,114.9,95.8,97,2.06,9.07,105,108.3,103,99.3,5.5,7.1,5.6,5.2,11.1,12.4,1674.715078,1636.806705,61,57,0.47,4,0
Hampton,Duke,-4.21,28.42,94.4,119.7,98.7,91.3,-10.7,8.43,97.4,107.3,108.1,98.9,-4.8,13.7,2,5.3,-2.9,19,1626.791235,1761.532699,45,87,-32.63,-42,1
Northern Colorado,San Diego St.,4.05,24.98,106.3,114.1,102.2,89.1,-2.41,7.48,102.4,107.6,104.8,100.1,1.9,6.6,-0.1,9,1.8,15.6,1565.188149,1796.92861,50,68,-20.93,-18,1
Connecticut,Bucknell,23.93,6.57,115.8,105.8,91.9,99.2,12.78,-3.41,110.1,102.7,97.4,106.1,6.8,-0.2,5,3.5,11.8,3.3,1709.24121,1592.695634,81,52,17.36,29,0
Texas,Oakland,25.93,13.31,115.5,118.6,89.6,105.3,7.61,2.01,107.5,106,99.9,104,8,13.4,8.1,-6.1,16.1,7.3,1698.613466,1598.227064,85,81,12.62,4,0
Arizona,Memphis,19.65,6.98,117.4,104.5,97.8,97.6,7.69,2.11,107.7,104.8,100,102.7,9.7,4.5,3,1.3,12.7,5.8,1705.368461,1663.030821,77,75,12.67,2,0
Missouri,Cincinnati,15.54,19.41,113.4,111.1,97.8,91.7,6.5,6.23,106.9,106.8,100.4,100.6,11.1,2.1,0.4,8.8,11.6,10.9,1640.604168,1678.654302,63,78,-3.87,-15,1
Temple,Penn St.,16.84,14.88,110.5,113.1,93.7,98.3,4.04,12.46,105.5,110.7,101.5,98.3,4.1,-0.4,6.6,7.9,10.7,7.5,1656.848636,1572.796068,66,64,1.96,2,0
Michigan,Tennessee,17.69,12.41,112.8,108,95.1,95.6,12,9.07,110.7,108.6,98.7,99.6,1.4,4.4,7.7,4.7,9.1,9,1590.710382,1623.424258,75,45,5.28,30,0
Kansas,Boston University,28.38,-0.5,118.9,103.4,90.6,103.9,7.75,-4.62,108.2,100.5,100.5,105.1,13.3,-1.6,6.5,1.7,19.8,0.1,1802.665243,1515.78257,72,53,28.88,19,0
Akron,Notre Dame,4.09,23.25,103.7,120.9,99.6,97.7,-1.7,9.92,102.5,108.2,104.2,98.3,1.2,9.8,1.9,4.2,3,14,1575.029568,1709.042255,56,69,-19.16,-13,1
Saint Peter's,Purdue,2.73,24.79,95.2,115.9,92.5,91.1,0.88,10.16,103.2,108.8,102.3,98.7,-6,7.1,7.6,9.1,1.6,16.2,1542.530457,1693.273369,43,65,-22.06,-22,1
Morehead St.,Louisville,7.01,22.26,105.6,111.4,98.6,89.2,-2.89,8.77,102.2,108.3,105.1,99.5,-0.1,8,5.1,5.9,5,13.9,1614.855182,1677.590327,62,61,-15.25,1,0
Richmond,Vanderbilt,16.01,17.33,112.6,116.6,96.5,99.2,3.11,6.66,104.8,106.5,101.7,99.8,2.8,9.1,7.4,3.5,10.2,12.7,1666.332311,1656.655866,69,66,-1.32,3,0
Georgetown,VCU,17.65,13.49,114.2,112,96.6,98.5,12.51,4.79,110.2,105.8,97.7,101,5.8,6.6,5.9,1.6,11.7,8.2,1680.655853,1621.862669,56,74,4.16,-18,1
Florida St.,Texas A&M,16.76,14.62,104.5,110,87.7,95.4,7.01,5.43,107.1,105.9,100.1,100.5,2.3,1.1,8.3,8.7,10.5,9.8,1622.644418,1671.875108,57,50,2.14,7,0
Illinois,UNLV,20.14,17.75,113.3,110.6,93.1,92.9,12.29,5.99,110.6,106.2,98.3,100.2,6.4,5.9,6.1,6.4,12.5,12.2,1613.550326,1669.184027,73,62,2.39,11,0
Pittsburgh,UNC Asheville,27.08,1.91,120.6,101.9,93.5,100,8.17,-3.97,107.6,101.1,99.4,105.1,8.8,2.6,9.4,-1.7,18.2,0.9,1733.928571,1528.098829,74,51,25.17,23,0
UC Santa Barbara,Florida,3.15,20.61,103.7,115.8,100.5,95.2,0.29,7.73,104.1,106.8,103.9,99.1,-1.3,8.6,2.3,6.5,0.9,15.1,1541.357878,1704.660895,51,79,-17.46,-28,1
Wofford,BYU,8.17,23.22,112.3,117.5,104.2,94.3,-0.59,7.04,104,106.8,104.6,99.8,4.7,13.2,0.6,0.8,5.3,14,1536.292493,1771.255478,66,74,-15.05,-8,1
Wisconsin,Belmont,25.84,18.48,122.3,112.6,96.5,94.1,10.81,-4.71,110,100.5,99.2,105.2,3.7,9.1,12.2,4.4,16,13.5,1656.062085,1696.796805,72,58,7.36,14,0
Utah St.,Kansas St.,19.32,17.42,111.2,111.1,91.8,93.6,-0.29,9.23,103.8,108.5,104.1,99.3,2.9,5.8,8.5,5.1,11.4,10.8,1733.031148,1649.239334,68,73,1.9,-5,1
Gonzaga,St. John's,16.45,15.87,112.1,111.2,95.6,95.3,3.82,10.98,106.4,110,102.6,99,7.9,4,2.4,4.7,10.3,8.6,1619.480231,1598.711932,86,71,0.58,15,0
UCLA,Michigan St.,13.57,15.08,108.7,109.5,95.1,94.4,6.92,13.7,107.3,111,100.4,97.3,3.3,4.6,2.7,5,6,9.7,1622.479985,1592.547931,78,76,-1.51,2,0
Old Dominion,Butler,14.66,16.46,110,112.3,95.4,95.9,2.38,6.11,105.2,106.4,102.8,100.3,-0.5,5,10,5.2,9.5,10.2,1679.521863,1634.519512,58,60,-1.8,-2,1
George Mason,Ohio St.,18.3,33.47,114.1,125,95.8,91.5,2.06,8.82,105,108.9,103,100,5.5,11.4,5.6,10.4,11.1,21.8,1674.715078,1794.843333,66,98,-15.17,-32,1
North Carolina,Washington,22.18,21.69,111.8,117.7,89.6,96,11.14,7.21,109.9,106.9,98.8,99.7,11.2,13.7,4.2,-0.2,15.4,13.5,1684.547713,1641.642603,86,83,0.49,3,0
Marquette,Syracuse,18.14,22.49,115.5,114.9,97.3,92.4,11.06,9.03,109.4,108.3,98.4,99.3,8.1,7.2,3,7.3,11.1,14.6,1597.634099,1706.082208,66,62,-4.35,4,0
West Virginia,Kentucky,20.11,25.82,114.9,117.8,94.8,92,12.7,9.81,111,108.4,98.3,98.5,4.5,8.7,8.4,7.8,12.9,16.5,1623.532554,1688.661972,63,71,-5.71,-8,1
Michigan,Duke,17.69,28.42,112.8,119.7,95.1,91.3,12,8.43,110.7,107.3,98.7,98.9,1.4,13.7,7.7,5.3,9.1,19,1590.710382,1761.532699,71,73,-10.73,-2,1
San Diego St.,Temple,24.98,16.84,114.1,110.5,89.1,93.7,7.48,4.04,107.6,105.5,100.1,101.5,6.6,4.1,9,6.6,15.6,10.7,1796.92861,1656.848636,71,64,8.14,7,0
Cincinnati,Connecticut,19.41,23.93,111.1,115.8,91.7,91.9,6.23,12.78,106.8,110.1,100.6,97.4,2.1,6.8,8.8,5,10.9,11.8,1678.654302,1709.24121,58,69,-4.52,-11,1
Arizona,Texas,19.65,25.93,117.4,115.5,97.8,89.6,7.69,7.61,107.7,107.5,100,99.9,9.7,8,3,8.1,12.7,16.1,1705.368461,1698.613466,70,69,-6.28,1,0
Kansas,Illinois,28.38,20.14,118.9,113.3,90.6,93.1,7.75,12.29,108.2,110.6,100.5,98.3,13.3,6.4,6.5,6.1,19.8,12.5,1802.665243,1613.550326,73,59,8.24,14,0
Florida St.,Notre Dame,16.76,23.25,104.5,120.9,87.7,97.7,7.01,9.92,107.1,108.2,100.1,98.3,2.3,9.8,8.3,4.2,10.5,14,1622.644418,1709.042255,71,57,-6.49,14,0
Purdue,VCU,24.79,13.49,115.9,112,91.1,98.5,10.16,4.79,108.8,105.8,98.7,101,7.1,6.6,9.1,1.6,16.2,8.2,1693.273369,1621.862669,76,94,11.3,-18,1
Richmond,Morehead St.,16.01,7.01,112.6,105.6,96.5,98.6,3.11,-2.89,104.8,102.2,101.7,105.1,2.8,-0.1,7.4,5.1,10.2,5,1666.332311,1614.855182,65,48,9,17,0
Butler,Pittsburgh,16.46,27.08,112.3,120.6,95.9,93.5,6.11,8.17,106.4,107.6,100.3,99.4,5,8.8,5.2,9.4,10.2,18.2,1634.519512,1733.928571,71,70,-10.62,1,0
UCLA,Florida,13.57,20.61,108.7,115.8,95.1,95.2,6.92,7.73,107.3,106.8,100.4,99.1,3.3,8.6,2.7,6.5,6,15.1,1622.479985,1704.660895,65,73,-7.04,-8,1
BYU,Gonzaga,23.22,16.45,117.5,112.1,94.3,95.6,7.04,3.82,106.8,106.4,99.8,102.6,13.2,7.9,0.8,2.4,14,10.3,1771.255478,1619.480231,89,67,6.77,22,0
Kansas St.,Wisconsin,17.42,25.84,111.1,122.3,93.6,96.5,9.23,10.81,108.5,110,99.3,99.2,5.8,3.7,5.1,12.2,10.8,16,1649.239334,1656.062085,65,70,-8.42,-5,1
Ohio St.,Kentucky,33.47,25.82,125,117.8,91.5,92,8.82,9.81,108.9,108.4,100,98.5,11.4,8.7,10.4,7.8,21.8,16.5,1794.843333,1688.661972,60,62,7.65,-2,1
North Carolina,Marquette,22.18,18.14,111.8,115.5,89.6,97.3,11.14,11.06,109.9,109.4,98.8,98.4,11.2,8.1,4.2,3,15.4,11.1,1684.547713,1597.634099,81,63,4.04,18,0
Duke,Arizona,28.42,19.65,119.7,117.4,91.3,97.8,8.43,7.69,107.3,107.7,98.9,100,13.7,9.7,5.3,3,19,12.7,1761.532699,1705.368461,77,93,8.77,-16,1
Connecticut,San Diego St.,23.93,24.98,115.8,114.1,91.9,89.1,12.78,7.48,110.1,107.6,97.4,100.1,6.8,6.6,5,9,11.8,15.6,1709.24121,1796.92861,74,67,-1.05,7,0
Kansas,Richmond,28.38,16.01,118.9,112.6,90.6,96.5,7.75,3.11,108.2,104.8,100.5,101.7,13.3,2.8,6.5,7.4,19.8,10.2,1802.665243,1666.332311,77,57,12.37,20,0
VCU,Florida St.,13.49,16.76,112,104.5,98.5,87.7,4.79,7.01,105.8,107.1,101,100.1,6.6,2.3,1.6,8.3,8.2,10.5,1621.862669,1622.644418,72,71,-3.27,1,0
Wisconsin,Butler,25.84,16.46,122.3,112.3,96.5,95.9,10.81,6.11,110,106.4,99.2,100.3,3.7,5,12.2,5.2,16,10.2,1656.062085,1634.519512,54,61,9.38,-7,1
BYU,Florida,23.22,20.61,117.5,115.8,94.3,95.2,7.04,7.73,106.8,106.8,99.8,99.1,13.2,8.6,0.8,6.5,14,15.1,1771.255478,1704.660895,74,83,2.61,-9,1
Kentucky,North Carolina,25.82,22.18,117.8,111.8,92,89.6,9.81,11.14,108.4,109.9,98.5,98.8,8.7,11.2,7.8,4.2,16.5,15.4,1688.661972,1684.547713,76,69,3.64,7,0
Arizona,Connecticut,19.65,23.93,117.4,115.8,97.8,91.9,7.69,12.78,107.7,110.1,100,97.4,9.7,6.8,3,5,12.7,11.8,1705.368461,1709.24121,63,65,-4.28,-2,1
VCU,Kansas,13.49,28.38,112,118.9,98.5,90.6,4.79,7.75,105.8,108.2,101,100.5,6.6,13.3,1.6,6.5,8.2,19.8,1621.862669,1802.665243,71,61,-14.89,10,0
Butler,Florida,16.46,20.61,112.3,115.8,95.9,95.2,6.11,7.73,106.4,106.8,100.3,99.1,5,8.6,5.2,6.5,10.2,15.1,1634.519512,1704.660895,74,71,-4.15,3,0
Kentucky,Connecticut,25.82,23.93,117.8,115.8,92,91.9,9.81,12.78,108.4,110.1,98.5,97.4,8.7,6.8,7.8,5,16.5,11.8,1688.661972,1709.24121,55,56,1.89,-1,1
Butler,VCU,16.46,13.49,112.3,112,95.9,98.5,6.11,4.79,106.4,105.8,100.3,101,5,6.6,5.2,1.6,10.2,8.2,1634.519512,1621.862669,70,62,2.97,8,0
Butler,Connecticut,16.46,23.93,112.3,115.8,95.9,91.9,6.11,12.78,106.4,110.1,100.3,97.4,5,6.8,5.2,5,10.2,11.8,1634.519512,1709.24121,41,53,-7.47,-12,1
Western Kentucky,Kentucky,-2.67,32.59,97.8,122.2,100.5,89.6,0,7.99,102.3,106.8,102.3,98.8,-2.6,11.9,-1.3,8.2,-3.9,20.1,1451.406324,1808.419191,66,81,-35.26,-15,1
Lehigh,Duke,9.29,19.7,108.6,117.7,99.3,98,-5.57,8.18,100.3,107.3,105.8,99.1,6.1,12.2,-0.1,2.6,6,14.8,1626.386272,1744.060744,75,70,-10.41,5,0
