2018,Loyola (LA),1477.8867953371057
2018,Oak Hills Christian,1480.7924454347287
2018,Antelope Valley,1454.963784066411
2018,Syracuse,1632.2896715384234
2018,Providence,1595.4564535820818
2018,St. Mary's (MD),1484.4488055104905
2018,Avila,1461.7884491599307
2018,Florida A&M,1335.3835976680903
2018,Adams State,1485.335295290694
2018,Connecticut,1517.6981656028886
2018,Blue Mountain College,1436.2391178032917
2018,Kentucky Wesleyan,1491.5036838485057
2018,Rockhurst,1483.4183002063046
2018,Pennsylvania,1610.1369351704056
2018,Oregon,1594.2352284200056
2018,Albany (NY),1614.5424414016056
2018,Mercy,1486.0157955252344
2018,Dubuque,1480.4219525109795
2018,Milligan,1457.8415590487252
2018,Marshall,1615.993122475617
2018,Saint Mary's (MN),1482.7370363998837
2018,Coastal Carolina,1480.9524267784257
2018,William Jessup,1470.335431783567
2018,Kennesaw State,1402.8483311615646
2018,Nevada,1717.431525179937
2018,St. Andrews,1467.7192632052254
2018,Charleston Southern,1467.9691944022952
2018,Northwestern Ohio,1480.8234744302188
2018,Tougaloo,1484.7871132068738
2018,North Carolina A&T,1530.5818290406885
2018,Dartmouth,1368.3463196548137
2018,Alabama,1591.0198147981139
2018,Miami (FL),1641.6075234144005
2018,Manhattan,1458.7069527120047
2018,Stetson,1448.8925312474591
2018,Howard,1346.9923915664262
2018,Long Beach State,1487.6504477595681
2018,Cal Lutheran,1464.2354257759268
2018,Chaminade,1478.9926140136624
2018,Stanford,1537.9725588741724
2018,Cincinnati,1741.1698961681618
2018,Northwestern State,1330.0901564002181
2018,Morgan State,1436.6171925095866
2018,Mars Hill,1487.2560354756363
2018,Georgian Court,1474.5691746157515
2018,Lawrence,1482.1450523912551
2018,Harris-Stowe,1490.094669156524
2018,Texas A&M-Corpus Christi,1415.6856381366315
2018,Tennessee State,1515.222904400324
2018,Arizona State,1641.2964629559247
2018,Saint Mary's (CA),1728.9548929424145
2018,Panhandle State,1474.894954727476
2018,Curry,1483.9077361327832
2018,Hiwassee,1438.5857065626049
2018,Hardin-Simmons,1484.5123107253662
2018,Coppin State,1286.2487764264483
2018,Ohio Valley,1469.567327275984
2018,St. Mary's (TX),1481.1152439803284
2018,Furman,1621.3840070323988
2018,Binghamton,1433.593855969228
2018,Texas-Dallas,1484.9295851777665
2018,Emporia State,1487.6108720071486
2018,Notre Dame (CA),1439.3955634592114
2018,East Carolina,1406.0156030035891
2018,Valley Forge,1477.121937274229
2018,Virginia Military Institute,1400.8074750911803
2018,Iowa,1493.620605716983
2018,Bridgewater (VA),1459.803059378158
2018,Xavier,1730.8612935168387
2018,University of the Ozarks,1462.9199809619058
2018,New Rochelle,1465.469635849803
2018,Duke,1731.713732716124
2018,Memphis,1573.0079749361755
2018,Lehigh,1496.004009388344
2018,Northeastern,1605.0019897470122
2018,Coe,1483.7070566191262
2018,North Carolina-Wilmington,1403.9263949167832
2018,Thomas University,1481.1343199721873
2018,Radford,1568.850902751352
2018,Northwood (MI),1485.6504724875856
2018,Hillsdale,1469.6049199318206
2018,Canisius,1539.3624688151224
2018,Arkansas State,1406.37827357645
2018,Missouri S&T,1485.9928329805966
2018,Montana Western,1482.6263816281084
2018,Jacksonville,1452.4317817492988
2018,Maine-Fort Kent,1489.7764210759851
2018,Kentucky Christian,1464.2041836830367
2018,Tennessee,1677.5638962212208
2018,Arkansas,1624.79644083955
2018,Rust,1451.070831182506
2018,Grambling,1479.4823729941445
2018,Saint Francis (PA),1534.306639798623
2018,Greensboro,1467.2566186887016
2018,Texas A&M,1649.7972418403092
2018,Catholic,1485.1231533156142
2018,St. Bonaventure,1656.7957081278844
2018,Central Pennsylvania College,1416.5764708031795
2018,Missouri-Kansas City,1409.5751379431586
2018,Monmouth,1441.8153728911927
2018,Massachusetts-Boston,1481.3229683359991
2018,St. Thomas (TX),1446.881129791062
2018,Detroit Mercy,1397.7187510877643
2018,Chapman,1482.816369147537
2018,Doane College,1481.2510644144577
2018,Denver,1471.7623664809714
2018,Penn State,1620.1555130424513
2018,Valley City State,1483.6915035271861
2018,West Virginia,1658.9525049331319
2018,Sacramento State,1361.55450967376
2018,Jarvis Christian,1471.5812365979605
2018,Centenary (LA),1468.1989555023679
2018,Boyce,1486.353111839087
2018,Tennessee Wesleyan,1454.5600475335118
2018,East-West,1474.2418124497133
2018,Seton Hall,1640.0784725092785
2018,Evansville,1572.7241784911487
2018,Trinity Baptist,1433.886888935983
2018,UC-Santa Barbara,1625.4738082434062
2018,Whittier,1466.4604504794233
2018,Utah,1606.1279462571092
2018,Presbyterian,1438.17775645449
2018,Longwood,1339.8930355994776
2018,Rochester (MI),1484.1547253967192
2018,Warren Wilson,1470.0186254478863
2018,Eastern Illinois,1427.2634590673736
2018,Northern Iowa,1534.8093944135073
2018,San Francisco,1557.0158292104206
2018,Lipscomb,1604.5230125850046
2018,Clemson,1680.2291377647932
2018,Tusculum,1490.020286832421
2018,Louisiana State,1570.0982596422311
2018,Tennessee-Martin,1401.9284092571822
2018,Hannibal-LaGrange,1483.6387546228357
2018,Mount Marty,1489.2213180734675
2018,Boston University,1483.8268703772737
2018,York (PA),1483.9955615523247
2018,Penn St. - Brandywine,1489.9086587599784
2018,Mount St. Mary's,1489.0214936810692
2018,Cal State Bakersfield,1469.669651790454
2018,Marquette,1594.7416261834685
2018,North Georgia,1486.46407743581
2018,Maine,1316.18349113396
2018,Oklahoma,1604.819561562925
2018,Alabama State,1346.3307505449882
2018,Emerson,1477.9823894592055
2018,Brigham Young,1646.0501525887937
2018,Youngstown State,1370.5949203746457
