Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,BPI_Off1,BPI_Off2,BPI_Def1,BPI_Def2,BPI1,BPI2,Elo1,Elo2,Score1,Score2,Eff_Diff,Score_Diff,Winner
North Carolina,Mount St. Mary's,0.7432847275518035,-0.5830227743271221,0.6280323450134768,-0.6592178770949724,-0.501618122977346,0.19999999999999907,0.6967084639498429,-0.5962858296326201,0.4712643678160924,-0.3766233766233772,-0.7812500000000013,0.5217391304347829,0.9269102990033222,-0.5789473684210527,-0.3046875,-0.14741035856573714,0.793296089385475,-0.5443037974683544,0.8424465650895707,-0.6495758234186251,113,74,0.827257564927329,39,0
American,Tennessee,-0.35226400613967757,0.38964803312629415,-0.13746630727762787,0.2849162011173185,0.43042071197411014,-0.2888888888888893,-0.432601880877743,0.6092046830843763,-0.4597701149425282,0.6363636363636369,0.20312499999999845,-0.5072463768115953,-0.548172757475083,0.5087719298245614,-0.08593750000000011,-0.05976095617529875,-0.2905027932960893,0.5063291139240509,-0.3068508949107043,0.6821282377619091,57,72,-0.4126757207529188,-15,1
Boise St.,Louisville,-0.2670759785111281,0.5238095238095237,-0.09433962264150941,0.11173184357541865,0.33333333333333326,-0.7555555555555558,-0.30799373040752354,0.5898264029067419,-0.06896551724137956,0.506493506493507,0.4843750000000002,-0.6231884057971022,0.2026578073089702,0.0736842105263158,-0.859375,0.4422310756972112,-0.21229050279329598,0.5063291139240509,0.047796500190676605,0.20936776533661572,61,79,-0.4369787943769359,-18,1
Washington St.,Winthrop,0.516884113584037,-0.26418219461697723,0.25067385444743895,-0.6480446927374304,-0.5728155339805827,-0.3555555555555564,0.6034482758620687,-0.24586192975373433,0.5862068965517246,0.07792207792207706,-0.4375000000000008,0.40579710144927406,-0.27574750830564787,-0.7543859649122808,0.6484375,0.5537848605577689,0.46368715083798917,-0.13924050632911378,0.351900416775911,-0.2159171438777674,71,40,0.5032165832737672,31,0
Notre Dame,George Mason,0.31542594013814296,-0.12753623188405794,0.2237196765498648,-0.022346368715083775,-0.2621359223300974,0.22962962962962918,0.4380877742946707,-0.210335082761405,0.41379310344827624,-0.2467532467532474,-0.34375000000000167,-0.014492753623188581,0.3554817275747506,-0.28421052631578947,-0.2578125,0.09960159362549792,0.3463687150837991,-0.08860759493670878,0.19220570734047726,0.011824639451083918,68,50,0.2994996426018586,18,0
Saint Joseph's,Oklahoma,0.13315425940138148,0.07080745341614914,0.25067385444743895,-0.08938547486033532,0.0744336569579287,-0.20740740740740826,0.35423197492163006,0.5987081146548241,0.34482758620689746,0.493506493506493,-0.26562500000000167,-0.6376811594202898,0.056478405315614655,-0.24210526315789482,-0.1328124999999999,0.26693227091633465,0.18435754189944165,0.08860759493670889,-0.14067053261172258,0.0054242768624575,64,72,0.07219442458899206,-8,1
Butler,South Alabama,0.3499616270145818,-0.03975155279503095,0.3099730458221024,0.08379888268156388,-0.2233009708737862,0.21481481481481413,0.11755485893416928,-0.3314493338716189,0.04597701149425282,-0.18181818181818243,-0.20312500000000067,0.2753623188405796,-0.12956810631229232,-0.14385964912280702,0.3359375,-0.11553784860557781,0.36312849162011185,-0.12658227848101256,0.5081306537553656,0.27999430096040934,81,61,0.2704312604241126,20,0
Arkansas,Indiana,0.16653875671527252,0.23478260869565215,0.05121293800539095,0.19553072625698276,-0.2233009708737862,-0.1333333333333342,0.46238244514106563,0.3427533306419055,0.5172413793103459,0.2727272727272718,-0.25000000000000033,-0.4347826086956533,0.01661129568106312,0.17192982456140338,-0.0625,0.043824701195219085,0.20670391061452542,0.28481012658227867,0.07427199686693142,0.3327586264600595,86,72,-0.0014295925661187425,14,0
Portland St.,Kansas,-0.20913277052954715,0.9296066252587993,-0.09973045822102478,0.5474860335195533,0.2297734627831718,-0.9037037037037039,-0.37539184952978055,0.6083972547436416,-0.13793103448275823,0.6103896103896105,0.53125,-0.5362318840579725,-0.09634551495016608,0.44561403508771935,-0.453125,0.4820717131474104,-0.17318435754189931,0.8734177215189873,-0.10704243595435636,0.7541342939955233,61,85,-0.6345008339289969,-24,1
UMBC,Georgetown,-0.2682271680736761,0.5300207039337477,0.1482479784366577,0.22905027932960897,0.6245954692556634,-0.6074074074074076,-0.43887147335423193,0.5203875656035526,-0.36781609195402265,0.4805194805194808,0.34374999999999933,-0.5072463768115953,-0.04983388704318936,-0.1228070175438597,-0.5546875,0.7450199203187249,-0.2067039106145251,0.5759493670886076,0.031209211184634933,0.4258449759586962,47,66,-0.4412675720752919,-19,1
