Rk,Team,Conf,W-L,AdjEM,AdjO,AdjO2,AdjD,AdjD2,AdjT,AdjT2,Luck,Luck2,Strength of Schedule AdjEM,Strength of Schedule AdjEM2,Strength of Schedule OppO,Strength of Schedule OppO2,Strength of Schedule OppD,Strength of Schedule OppD2,NCSOS AdjEM,NCSOS AdjEM2,Seed,Year,BPI Off,BPI Def,BPI,Elo
33,Mississippi St.,SEC,23-11,16.77,108.2,92,91.5,11,66.6,117,-0.043,278,6.22,66,108.1,35,101.8,98,-1.48,187,8,2008,5.5,5.5,11.0,1597.6465050000004
34,Virginia Tech,ACC,21-14,16.29,107.1,119,90.8,8,65.8,146,-0.048,288,7.41,48,107.9,40,100.5,61,-0.09,150,1,2008,2.4,7.4,9.8,1564.957369
35,BYU,MWC,27-8,15.76,107.4,112,91.7,12,67.8,83,0.027000000000000003,106,1.47,129,104.2,139,102.7,139,-4.23,276,8,2008,4.6,3.6,8.2,1674.003208
36,Oregon,P10,18-14,15.66,118.8,5,103.1,160,65.8,144,-0.035,259,10.56,5,108.9,14,98.4,6,0.11,143,9,2008,11.0,-1.1,9.9,1578.428394
37,Miami FL,ACC,23-11,15.38,112.5,44,97.1,61,65.8,145,-0.003,176,7.78,44,106.7,70,98.9,16,-5.55,296,7,2008,8.1,2.2,10.4,1659.012484
38,Florida,SEC,24-12,15.37,115.9,16,100.5,104,65.0,176,-0.042,273,3.13,107,105.1,108,102.0,103,-9.31,330,2,2008,8.1,2.5,10.6,1634.095191
39,Nebraska,B12,20-13,15.31,108.0,101,92.7,19,61.6,297,-0.042,272,6.19,69,106.4,81,100.2,54,-12.71,340,3,2008,-0.5,8.0,7.5,1579.7370970000004
40,Arkansas,SEC,23-12,15.19,111.4,53,96.2,48,66.5,119,0.008,153,7.19,52,108.4,25,101.2,82,-0.61,164,9,2008,5.5,4.1,9.7,1631.563166
41,Baylor,B12,21-11,14.82,115.7,19,100.9,113,70.1,24,-0.027999999999999997,242,7.58,46,106.9,64,99.3,25,-4.83,286,11,2008,12.6,-4.8,7.8,1650.003263
42,Saint Mary's,WCC,25-7,14.66,109.2,76,94.6,32,66.4,124,0.03,96,0.11,151,103.4,174,103.3,153,2.34,88,10,2008,5.1,3.9,9.0,1697.672001
43,Western Kentucky,SB,29-7,14.6,111.9,48,97.3,62,68.2,69,-0.021,219,-0.85,172,103.3,176,104.2,174,1.69,100,12,2008,7.5,0.6,8.2,1673.203507
44,Oklahoma,B12,23-12,14.47,109.5,74,95.1,37,63.1,256,0.077,23,9.45,18,108.3,30,98.9,15,-0.55,161,6,2008,2.6,6.9,9.5,1630.031064
45,Saint Joseph's,A10,21-13,14.32,115.1,25,100.8,110,64.0,216,-0.069,318,5.81,73,106.9,63,101.1,78,1.34,114,11,2008,6.1,3.2,9.3,1585.344602
46,Villanova,BE,22-13,14.21,109.2,75,95.0,35,68.1,74,0.037000000000000005,84,9.14,25,108.9,15,99.8,38,-2.4,222,12,2008,5.6,3.4,9.0,1601.840033
47,Syracuse,BE,21-14,14.12,112.6,43,98.4,75,69.9,27,-0.026000000000000002,238,7.96,41,107.8,43,99.9,44,2.25,90,1,2008,10.1,-0.6,9.6,1606.066168
48,UNLV,MWC,27-8,13.71,110.2,67,96.5,51,63.9,223,0.081,21,3.1,108,104.3,131,101.2,81,-0.86,171,8,2008,2.6,6.0,8.6,1669.553283
49,Arizona St.,P10,21-13,13.62,110.2,66,96.6,53,61.2,305,0.01,150,6.79,56,107.4,54,100.6,64,-9.79,333,1,2008,0.5,6.7,7.1,1579.166457
50,Mississippi,SEC,24-11,13.49,114.2,32,100.7,108,69.3,40,0.01,146,5.66,78,106.7,69,101.0,76,-2.47,225,2,2008,10.1,-0.7,9.3,1672.0767529999996
52,Massachusetts,A10,25-11,13.1,110.5,63,97.3,65,74.6,3,0.005,156,5.26,83,107.3,57,102.0,108,0.21,141,2,2008,11.3,-3.5,7.8,1629.264233
55,Kent St.,MAC,28-7,13.04,107.8,105,94.8,34,65.1,171,0.075,26,1.03,140,103.5,166,102.5,127,-0.11,151,9,2008,1.8,5.8,7.6,1681.896821
56,Vanderbilt,SEC,26-8,12.65,112.3,47,99.6,88,68.2,67,0.11,5,5.2,86,107.4,49,102.2,118,-1.7,198,4,2008,10.0,-1.6,8.4,1713.872468
57,Temple,A10,21-13,12.37,112.8,41,100.4,102,63.6,233,-0.018000000000000002,213,6.08,70,107.4,53,101.3,85,3.73,64,12,2008,4.7,2.3,7.0,1556.398692
58,Illinois St.,MVC,25-10,12.37,106.2,129,93.9,27,62.5,279,0.043,68,4.12,93,106.5,77,102.4,123,-1.52,189,2,2008,-1.6,8.5,6.9,1642.103712
59,Florida St.,ACC,19-15,12.26,108.7,83,96.4,50,64.8,181,-0.035,258,8.51,34,108.4,26,99.9,47,-1.4,183,3,2008,4.4,3.9,8.3,1581.235587
60,Dayton,A10,23-11,12.08,111.8,51,99.7,91,61.6,296,0.055,48,5.31,81,106.5,76,101.2,83,-0.78,168,3,2008,2.2,4.9,7.1,1651.918946
61,UAB,CUSA,23-11,12.07,110.7,57,98.6,77,66.8,110,0.017,127,2.74,111,104.3,126,101.6,93,-1.59,195,5,2008,5.0,1.9,6.9,1602.789265
62,Southern Illinois,MVC,18-15,12.04,105.7,138,93.7,25,61.1,307,-0.033,254,7.38,50,107.4,56,100.0,48,8.06,15,4,2008,-2.6,8.6,6.0,1553.542351
63,Maryland,ACC,19-15,11.99,107.1,116,95.1,38,69.9,26,-0.044000000000000004,279,7.39,49,106.6,74,99.2,22,-2.75,239,5,2008,5.9,2.4,8.3,1567.29524
65,South Alabama,SB,26-7,11.8,112.6,42,100.8,111,64.8,178,-0.002,174,-2.07,194,103.1,182,105.2,219,0.9,121,10,2008,4.0,2.1,6.1,1685.4071989999998
67,California,P10,17-16,11.51,115.8,18,104.3,184,67.8,82,-0.013000000000000001,200,10.85,4,109.2,7,98.4,7,-2.47,226,4,2008,9.6,-2.7,6.9,1565.533133
68,VCU,CAA,24-8,11.45,104.7,157,93.2,22,63.6,237,-0.040999999999999995,270,-1.67,189,102.4,208,104.0,168,2.99,77,4,2008,0.4,8.6,9.0,1645.5093869999996
70,Minnesota,B10,20-14,11.34,108.4,89,97.1,60,65.1,169,-0.025,233,5.28,82,105.5,99,100.2,55,-6.47,308,4,2008,3.2,4.4,7.6,1574.631659
72,Rhode Island,A10,21-12,11.2,115.1,24,103.9,177,69.6,34,-0.059000000000000004,303,3.5,99,105.7,94,102.2,116,-1.83,201,6,2008,11.0,-3.1,7.8,1636.296468
74,Creighton,MVC,22-11,10.8,108.7,85,97.9,68,65.5,156,0.049,58,5.22,85,106.1,88,100.8,72,-2.82,242,3,2008,4.2,2.1,6.3,1629.829108
75,Oklahoma St.,B12,17-16,10.78,109.1,77,98.4,73,64.2,204,-0.03,249,9.94,10,108.6,21,98.6,12,-0.76,167,5,2008,0.8,4.1,4.9,1527.639941
76,Akron,MAC,24-11,10.48,110.9,56,100.4,101,62.8,269,-0.009000000000000001,193,0.39,148,103.0,188,102.6,131,-4.22,275,6,2008,2.9,3.7,6.6,1627.797407
77,Oral Roberts,Sum,24-9,10.27,104.7,153,94.5,31,63.6,236,0.032,95,-0.01,156,105.4,103,105.4,228,8.75,11,13,2008,-0.9,6.5,5.6,1634.14884
78,Kentucky,SEC,18-13,10.01,107.8,104,97.8,67,62.4,282,0.01,147,6.74,57,107.4,50,100.7,67,-3.13,249,11,2008,1.0,6.4,7.4,1547.131133
80,George Mason,CAA,23-11,9.68,110.7,58,101.0,117,61.6,300,-0.01,196,-0.57,166,102.6,203,103.2,150,2.28,89,12,2008,2.0,4.8,6.7,1631.321909
84,Charlotte,A10,20-14,9.53,104.6,160,95.1,36,66.8,111,-0.006,185,5.77,74,107.1,60,101.4,86,2.45,83,6,2008,2.2,3.8,6.0,1578.478626
88,Cal St. Fullerton,BW,24-9,8.47,112.3,45,103.9,176,71.6,12,-0.01,195,-3.95,236,101.5,243,105.5,230,-3.01,244,14,2008,9.6,-4.9,4.7,1612.238822
91,Georgia,SEC,17-17,8.08,104.3,166,96.2,45,64.7,183,-0.032,253,7.55,47,108.5,22,101.0,75,-4.1,274,14,2008,0.4,4.9,5.3,1535.682222
92,San Diego St.,MWC,20-13,7.99,104.9,147,96.9,57,64.1,211,-0.006,188,3.21,106,104.5,120,101.2,84,-1.49,188,7,2008,-0.7,4.9,4.2,1600.643758
93,Siena,MAAC,23-11,7.99,108.6,86,100.7,107,67.6,86,0.036000000000000004,87,-1.41,186,104.1,144,105.5,232,3.69,65,13,2008,6.1,-1.0,5.1,1589.985476
96,Stephen F. Austin,Slnd,26-6,7.53,107.6,109,100.1,96,57.6,337,0.028999999999999998,100,-5.9,280,98.6,319,104.5,194,-4.99,289,7,2008,-4.9,9.8,4.9,1687.6112010000004
103,Cleveland St.,Horz,21-13,6.58,103.3,177,96.7,55,64.7,182,0.035,88,3.23,105,105.5,100,102.3,119,3.54,68,6,2008,-1.1,3.6,2.6,1587.963659
104,Winthrop,BSth,22-12,6.38,99.5,232,93.1,20,61.6,298,0.0,167,-1.01,175,105.1,106,106.1,267,7.81,19,13,2008,-4.7,10.5,5.9,1585.390239
109,Utah St.,WAC,24-11,5.7,114.6,28,108.9,270,62.9,264,0.038,82,-3.25,224,101.8,232,105.0,210,-3.06,245,7,2008,2.8,-0.8,2.0,1598.8460619999996
112,Portland St.,BSky,23-10,5.4,108.6,87,103.2,161,66.3,126,0.062,41,-3.5,232,102.7,202,106.2,271,3.95,60,16,2008,3.8,-0.9,2.9,1592.575569
117,UC Santa Barbara,BW,23-9,4.93,102.3,186,97.3,64,65.2,162,0.062,40,-3.76,235,102.4,209,106.1,266,-3.52,260,7,2008,0.3,3.9,4.3,1641.632296
120,San Diego,WCC,22-14,4.64,101.6,198,97.0,59,63.0,260,0.045,65,1.43,131,104.3,125,102.9,144,2.61,80,13,2008,-1.7,3.7,2.0,1561.111177
123,Cornell,Ivy,22-6,4.41,110.1,69,105.7,206,67.9,80,0.086,15,-6.93,298,99.1,314,106.0,257,-3.59,264,14,2008,6.2,-2.5,3.6,1634.336048
126,Boise St.,WAC,25-9,3.89,108.7,84,104.8,191,70.7,19,0.085,17,-2.64,212,103.3,177,105.9,252,-3.36,256,14,2008,8.3,-6.1,2.2,1625.8702050000004
127,UMBC,AE,24-9,3.86,113.2,39,109.3,282,63.7,230,0.057,46,-4.31,241,100.7,274,105.0,207,2.68,79,15,2008,4.5,-2.2,2.3,1622.303481
129,Belmont,ASun,25-9,3.53,109.7,71,106.2,216,68.6,53,0.075,25,-5.21,262,100.9,265,106.1,268,0.51,133,15,2008,6.8,-4.2,2.6,1633.623624
144,Robert Morris,NEC,26-8,2.27,103.3,175,101.1,119,69.0,44,0.076,24,-7.01,300,99.5,306,106.5,282,-3.12,248,8,2008,3.5,-0.7,2.8,1608.672751
150,American,Pat,21-12,1.67,107.9,102,106.3,218,60.4,319,0.045,66,-4.23,240,99.9,295,104.1,173,-2.17,216,15,2008,-3.0,3.8,0.8,1549.611247
168,Austin Peay,OVC,24-11,-0.3,104.6,159,104.9,195,65.5,155,0.086,16,-6.35,291,102.5,204,108.8,333,5.19,42,15,2008,2.9,-1.8,1.1,1601.167784
169,Morgan St.,MEAC,22-11,-1.01,100.0,222,101.0,118,64.7,188,0.015,131,-9.48,325,98.3,320,107.7,317,1.01,119,8,2008,-2.5,1.8,-0.7,1578.076696
172,UNC Asheville,BSth,23-10,-1.21,107.2,115,108.4,259,64.4,198,0.1,7,-5.78,275,101.1,262,106.9,294,-1.34,182,8,2008,2.3,-1.6,0.7,1628.009257
173,Mount St. Mary's,NEC,19-15,-1.32,99.3,233,100.6,106,66.1,138,0.013999999999999999,135,-5.35,265,101.6,241,106.9,295,-0.05,148,16,2008,-2.2,1.7,-0.5,1497.92861
180,UT Arlington,Slnd,21-12,-2.31,101.3,202,103.6,170,68.6,57,0.045,64,-4.81,253,99.5,304,104.3,182,-5.9,301,16,2008,0.8,-2.4,-1.5,1614.996539
206,Alabama St.,SWAC,20-11,-4.55,102.0,193,106.5,222,64.3,200,-0.034,257,-13.98,340,94.8,339,108.8,332,5.71,35,8,2008,-3.1,-1.2,-4.3,1558.002366
298,Coppin St.,MEAC,16-21,-14.41,92.4,321,106.8,230,62.9,261,0.065,36,-7.38,306,98.1,321,105.5,229,7.87,18,16,2008,-9.6,-0.6,-10.2,1446.259574
306,Mississippi Valley St.,SWAC,17-16,-15.21,91.9,323,107.1,236,63.0,259,0.115,3,-11.0,332,96.7,331,107.7,315,13.04,4,16,2008,-9.8,-2.1,-11.9,1465.292406
1,North Carolina,ACC,34-4,31.14,123.2,1,92.1,18,72.9,6,-0.011000000000000001,195,9.91,24,108.2,27,98.3,15,1.06,126,1,2009,20.3,1.2,21.5,1761.299207
2,Connecticut,BE,31-5,29.25,116.0,17,86.8,3,67.1,96,0.024,107,10.37,13,109.0,11,98.6,24,-1.68,200,1,2009,12.3,6.4,18.6,1752.288411
3,Pittsburgh,BE,31-5,28.96,121.2,2,92.3,19,65.2,174,-0.012,201,10.11,19,108.1,28,98.0,12,0.79,132,1,2009,11.0,7.0,18.1,1758.879315
4,Memphis,CUSA,33-4,28.67,112.8,37,84.2,1,65.9,145,-0.009000000000000001,190,4.73,77,105.5,73,100.8,78,4.19,67,2,2009,8.1,10.3,18.5,1743.1163379999996
